load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
76,57,0,0,1,0,67,12,0,0,83,246,20,2,0,0,96,0,
97,44,0,0,0,0,67,118,0,0,24,868,2,64,0,0,31,0,
97,44,0,0,0,8,67,118,0,0,24,868,2,64,0,43,31,0,
97,44,0,0,0,67,67,118,0,0,24,868,2,64,0,49,31,0,
97,44,2,147,0,67,67,118,41,3028,24,868,2,64,59,49,31,0,
97,44,2,147,0,6,67,118,41,3028,24,868,2,64,59,11,31,0,
97,44,2,147,0,6,90,118,41,3028,24,868,2,64,59,11,31,0,
58,69,2,147,0,6,90,87,41,3028,6,408,20,0,59,11,98,0,
33,6,2,147,1,6,90,152,41,3028,22,868,9,34,59,11,33,0,
33,6,3,398,1,6,90,152,74,1612,22,868,9,34,89,11,33,0,
33,6,3,398,1,2,90,152,74,1612,22,868,9,34,89,9,33,0,
33,6,0,113,1,2,90,152,24,1790,22,868,9,34,75,9,33,0,
51,74,0,113,0,2,90,165,24,1790,86,940,1,55,75,9,85,0,
98,86,0,113,1,2,90,146,24,1790,74,990,11,24,75,9,51,0,
2,33,0,113,0,2,90,211,24,1790,28,555,7,54,75,9,30,0,
2,33,0,113,0,2,90,211,24,1790,28,555,7,54,75,6,30,0,
2,33,0,113,0,11,90,211,24,1790,28,555,7,54,75,14,30,0,
2,33,0,113,0,6,90,211,24,1790,28,555,7,54,75,2,30,0,
13,81,0,113,0,6,90,124,24,1790,70,317,2,55,75,2,66,0,
13,81,0,113,0,58,90,124,24,1790,70,317,2,55,75,18,66,0,
13,81,1,846,0,58,90,124,94,2536,70,317,2,55,80,18,66,0,
13,81,1,846,0,2,90,124,94,2536,70,317,2,55,80,39,66,0,
13,81,1,846,0,2,63,124,94,2536,70,317,2,55,80,39,66,0,
13,81,1,226,0,2,63,124,100,2731,70,317,2,55,12,39,66,0,
33,27,1,226,1,2,63,102,100,2731,2,677,12,18,12,39,33,0,
33,27,1,226,1,2,32,102,100,2731,2,677,12,18,12,39,33,0,
56,52,1,226,1,2,32,197,100,2731,20,883,24,16,12,39,95,0,
56,52,1,226,1,2,42,197,100,2731,20,883,24,16,12,39,95,1,
84,99,1,226,0,2,42,69,100,2731,66,984,11,35,12,39,4,1,
84,99,1,226,0,24,42,69,100,2731,66,984,11,35,12,24,4,1,
63,30,1,226,0,24,42,221,100,2731,17,44,4,9,12,24,36,1,
89,57,1,226,1,24,42,44,100,2731,23,569,1,73,12,24,36,1,
89,57,1,226,1,24,67,44,100,2731,23,569,1,73,12,24,36,1,
78,81,1,226,1,24,67,246,100,2731,39,43,8,38,12,24,71,1,
78,81,3,570,1,24,67,246,27,1229,39,43,8,38,28,24,71,1,
78,81,0,333,1,24,67,246,21,1386,39,43,8,38,36,24,71,1,
34,32,0,333,1,24,67,147,21,1386,85,394,7,72,36,24,91,1,
