load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
15,27,0,981,1,0,0,114,23,2561,25,325,16,29,78,0,10,0,
15,27,0,981,1,3,0,114,23,2561,25,325,16,29,78,28,10,0,
15,27,0,981,1,3,22,114,23,2561,25,325,16,29,78,28,10,0,
15,27,0,981,1,57,22,114,23,2561,25,325,16,29,78,46,10,0,
15,27,0,981,1,57,13,114,23,2561,25,325,16,29,78,46,10,0,
15,27,0,981,1,51,13,114,23,2561,25,325,16,29,78,22,10,0,
15,27,2,200,1,51,13,114,96,845,25,325,16,29,80,22,10,0,
15,27,3,486,1,51,13,114,37,864,25,325,16,29,2,22,10,0,
17,51,3,486,0,51,13,227,37,864,3,29,7,54,2,22,24,0,
60,4,3,486,1,51,13,25,37,864,60,12,11,42,2,22,30,0,
60,4,3,719,1,51,13,25,57,2101,60,12,11,42,25,22,30,0,
60,4,-1,720,1,51,13,25,98,2820,60,12,11,42,71,22,30,0,
26,15,-1,720,0,51,13,213,98,2820,90,692,20,71,71,22,65,0,
26,15,-1,720,0,51,37,213,98,2820,90,692,20,71,71,22,65,1,
9,11,-1,720,1,51,37,44,98,2820,81,924,6,29,71,22,84,1,
81,76,-1,720,1,51,37,86,98,2820,89,769,18,94,71,22,53,1,
81,76,-1,720,1,51,32,86,98,2820,89,769,18,94,71,22,53,0,
81,76,-1,720,1,4,32,86,98,2820,89,769,18,94,71,15,53,0,
81,76,-1,720,1,4,8,86,98,2820,89,769,18,94,71,15,53,1,
81,76,-1,720,1,57,8,86,98,2820,89,769,18,94,71,36,53,1,
81,76,0,143,1,57,8,86,93,1030,89,769,18,94,3,36,53,1,
81,76,-1,295,1,57,8,86,63,2846,89,769,18,94,16,36,53,1,
81,76,2,642,1,57,8,86,41,3309,89,769,18,94,49,36,53,1,
81,76,2,642,1,98,8,86,41,3309,89,769,18,94,49,43,53,1,
81,76,-1,615,1,98,8,86,27,2991,89,769,18,94,98,43,53,1,
81,76,0,646,1,98,8,86,51,2890,89,769,18,94,4,43,53,1,
81,76,2,889,1,98,8,86,100,1271,89,769,18,94,9,43,53,1,
6,26,2,889,0,98,8,69,100,1271,31,981,2,23,9,43,79,1,
6,26,2,889,0,60,8,69,100,1271,31,981,2,23,9,29,79,1,
6,26,2,889,0,60,69,69,100,1271,31,981,2,23,9,29,79,0,
6,26,2,889,0,44,69,69,100,1271,31,981,2,23,9,43,79,0,
5,51,2,889,1,44,69,8,100,1271,5,11,23,48,9,43,55,0,
5,51,3,926,1,44,69,8,18,2524,5,11,23,48,2,43,55,0,
5,51,3,926,1,44,99,8,18,2524,5,11,23,48,2,43,55,1,
5,51,3,926,1,44,42,8,18,2524,5,11,23,48,2,43,55,0,
5,51,-1,862,1,44,42,8,74,1670,5,11,23,48,30,43,55,0,
5,51,3,830,1,44,42,8,100,1676,5,11,23,48,60,43,55,0,
5,51,3,830,1,93,42,8,100,1676,5,11,23,48,60,18,55,0,
5,51,3,830,1,6,42,8,100,1676,5,11,23,48,60,15,55,0,
20,77,3,830,1,6,42,218,100,1676,96,694,7,88,60,15,39,0,
20,77,3,802,1,6,42,218,17,663,96,694,7,88,16,15,39,0,
20,77,3,802,1,28,42,218,17,663,96,694,7,88,16,0,39,0,
77,34,3,802,1,28,42,253,17,663,3,933,10,77,16,0,49,0,
77,34,3,802,1,28,88,253,17,663,3,933,10,77,16,0,49,1,
77,34,1,307,1,28,88,253,77,956,3,933,10,77,63,0,49,1,
77,34,1,307,1,28,41,253,77,956,3,933,10,77,63,0,49,0,
43,47,1,307,0,28,41,223,77,956,0,865,17,80,63,0,91,0,
43,47,1,307,0,28,8,223,77,956,0,865,17,80,63,0,91,1,
43,47,3,109,0,28,8,223,48,1512,0,865,17,80,71,0,91,1,
43,47,1,676,0,28,8,223,26,88,0,865,17,80,12,0,91,1,
1,80,1,676,0,28,8,23,26,88,49,844,0,14,12,0,8,1,
83,59,1,676,0,28,8,188,26,88,49,22,6,94,12,0,71,1,
83,59,1,676,0,58,8,188,26,88,49,22,6,94,12,34,71,1,
83,59,1,626,0,58,8,188,48,995,49,22,6,94,5,34,71,1,
26,32,1,626,0,58,8,147,48,995,46,437,14,97,5,34,0,1,
26,32,1,626,0,58,43,147,48,995,46,437,14,97,5,34,0,0,
26,32,1,626,0,42,43,147,48,995,46,437,14,97,5,10,0,0,
26,32,1,626,0,42,13,147,48,995,46,437,14,97,5,10,0,0,
26,32,1,626,0,96,13,147,48,995,46,437,14,97,5,37,0,0,
26,32,-1,981,0,96,13,147,51,110,46,437,14,97,92,37,0,0,
26,32,-1,981,0,96,52,147,51,110,46,437,14,97,92,37,0,1,
72,32,-1,981,1,96,52,195,51,110,36,64,15,0,92,37,76,1,
72,32,-1,981,1,96,71,195,51,110,36,64,15,0,92,37,76,0,
72,32,-1,981,1,96,42,195,51,110,36,64,15,0,92,37,76,1,
72,32,-1,981,1,96,11,195,51,110,36,64,15,0,92,37,76,0,
72,32,-1,981,1,96,66,195,51,110,36,64,15,0,92,37,76,1,
72,32,-1,981,1,83,66,195,51,110,36,64,15,0,92,46,76,1,
72,32,0,581,1,83,66,195,20,2462,36,64,15,0,57,46,76,1,
72,32,0,581,1,27,66,195,20,2462,36,64,15,0,57,17,76,1,
9,35,0,581,0,27,66,49,20,2462,36,647,3,71,57,17,18,1,
9,35,0,43,0,27,66,49,22,1553,36,647,3,71,8,17,18,1,
65,38,0,43,1,27,66,162,22,1553,48,591,15,37,8,17,29,1,
65,38,2,887,1,27,66,162,58,1883,48,591,15,37,60,17,29,1,
65,38,2,887,1,27,0,162,58,1883,48,591,15,37,60,17,29,1,
65,38,2,887,1,82,0,162,58,1883,48,591,15,37,60,48,29,1,
65,38,2,887,1,82,71,162,58,1883,48,591,15,37,60,48,29,0,
65,38,0,298,1,82,71,162,13,359,48,591,15,37,40,48,29,0,
65,38,0,298,1,61,71,162,13,359,48,591,15,37,40,41,29,0,
65,38,0,298,1,72,71,162,13,359,48,591,15,37,40,50,29,0,
65,38,0,298,1,57,71,162,13,359,48,591,15,37,40,7,29,0,
65,38,0,298,1,57,82,162,13,359,48,591,15,37,40,7,29,1,
65,38,0,298,1,57,72,162,13,359,48,591,15,37,40,7,29,0,
65,38,0,298,1,57,72,162,13,359,48,591,15,37,40,44,29,0,
65,38,2,763,1,57,72,162,64,3508,48,591,15,37,10,44,29,0,
65,38,1,430,1,57,72,162,29,3510,48,591,15,37,46,44,29,0,
65,38,1,430,1,93,72,162,29,3510,48,591,15,37,46,44,29,0,
65,38,1,430,1,93,81,162,29,3510,48,591,15,37,46,44,29,1,
65,38,1,430,1,93,41,162,29,3510,48,591,15,37,46,44,29,0,
65,38,1,442,1,93,41,162,58,343,48,591,15,37,43,44,29,0,
65,38,1,442,1,93,20,162,58,343,48,591,15,37,43,44,29,0,
65,38,1,442,1,93,48,162,58,343,48,591,15,37,43,44,29,0,
65,38,1,442,1,93,8,162,58,343,48,591,15,37,43,44,29,0,
65,38,1,442,1,93,18,162,58,343,48,591,15,37,43,44,29,0,
65,38,1,442,1,93,35,162,58,343,48,591,15,37,43,44,29,0,
65,38,2,652,1,93,35,162,70,963,48,591,15,37,98,44,29,0,
65,38,2,652,1,4,35,162,70,963,48,591,15,37,98,11,29,0,
73,42,2,652,0,4,35,108,70,963,78,907,1,63,98,11,75,0,
86,12,2,652,1,4,35,13,70,963,84,544,3,57,98,11,94,0,
0,22,2,652,0,4,35,235,70,963,5,562,4,47,98,11,20,0,
0,22,2,652,0,4,50,235,70,963,5,562,4,47,98,11,20,0,
59,25,2,652,1,4,50,0,70,963,33,348,9,12,98,11,52,0,
59,25,2,652,1,4,28,0,70,963,33,348,9,12,98,11,52,1,
16,62,2,652,0,4,28,100,70,963,34,496,17,48,98,11,18,1,
3,14,2,652,1,4,28,66,70,963,97,921,2,100,98,11,60,1,
3,14,2,652,1,4,28,66,70,963,97,921,2,100,98,18,60,1,
3,14,2,652,1,17,28,66,70,963,97,921,2,100,98,47,60,1,
