load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,3,90,0,88,0,0,34,2718,0,0,0,0,31,39,0,0,
0,0,3,90,0,62,0,0,34,2718,0,0,0,0,31,35,0,0,
77,96,3,90,0,62,0,252,34,2718,93,402,0,88,31,35,47,0,
77,96,3,90,0,62,83,252,34,2718,93,402,0,88,31,35,47,1,
77,96,3,90,0,91,83,252,34,2718,93,402,0,88,31,42,47,1,
77,96,3,126,0,91,83,252,68,729,93,402,0,88,26,42,47,1,
77,96,3,126,0,91,73,252,68,729,93,402,0,88,26,42,47,1,
54,31,3,126,0,91,73,56,68,729,17,616,15,22,26,42,27,1,
54,31,3,126,0,64,73,56,68,729,17,616,15,22,26,18,27,1,
54,31,-1,715,0,64,73,56,8,2298,17,616,15,22,93,18,27,1,
54,31,-1,715,0,15,73,56,8,2298,17,616,15,22,93,24,27,1,
54,31,-1,715,0,15,62,56,8,2298,17,616,15,22,93,24,27,0,
33,55,-1,715,1,15,62,104,8,2298,97,404,19,98,93,24,90,0,
32,57,-1,715,0,15,62,25,8,2298,83,208,6,31,93,24,75,0,
32,57,1,241,0,15,62,25,93,239,83,208,6,31,4,24,75,0,
32,57,1,241,0,15,57,25,93,239,83,208,6,31,4,24,75,1,
32,57,1,241,0,55,57,25,93,239,83,208,6,31,4,40,75,1,
32,57,1,241,0,55,85,25,93,239,83,208,6,31,4,40,75,1,
32,57,0,520,0,55,85,25,50,1446,83,208,6,31,30,40,75,1,
32,57,0,520,0,53,85,25,50,1446,83,208,6,31,30,7,75,1,
32,57,0,520,0,53,69,25,50,1446,83,208,6,31,30,7,75,0,
83,67,0,520,0,53,69,100,50,1446,76,523,15,43,30,7,17,0,
83,67,1,21,0,53,69,100,26,657,76,523,15,43,9,7,17,0,
83,67,1,21,0,53,10,100,26,657,76,523,15,43,9,7,17,0,
83,67,1,21,0,48,10,100,26,657,76,523,15,43,9,1,17,0,
83,67,2,70,0,48,10,100,10,2368,76,523,15,43,76,1,17,0,
83,67,2,70,0,4,10,100,10,2368,76,523,15,43,76,34,17,0,
83,67,1,880,0,4,10,100,59,2008,76,523,15,43,73,34,17,0,
83,67,1,880,0,8,10,100,59,2008,76,523,15,43,73,14,17,0,
83,67,1,880,0,8,53,100,59,2008,76,523,15,43,73,14,17,0,
83,67,1,223,0,8,53,100,17,1735,76,523,15,43,31,14,17,0,
95,32,1,223,1,8,53,200,17,1735,77,8,4,55,31,14,10,0,
95,32,1,223,1,8,94,200,17,1735,77,8,4,55,31,14,10,1,
69,60,1,223,0,8,94,66,17,1735,37,165,4,25,31,14,58,1,
69,60,1,223,0,23,94,66,17,1735,37,165,4,25,31,8,58,1,
69,60,1,223,0,23,59,66,17,1735,37,165,4,25,31,8,58,1,
69,60,3,467,0,23,59,66,66,1388,37,165,4,25,31,8,58,1,
69,60,3,21,0,23,59,66,50,670,37,165,4,25,35,8,58,1,
69,60,3,828,0,23,59,66,85,1695,37,165,4,25,39,8,58,1,
69,60,-1,214,0,23,59,66,43,2896,37,165,4,25,39,8,58,1,
69,60,-1,214,0,65,59,66,43,2896,37,165,4,25,39,17,58,1,
48,92,-1,214,1,65,59,222,43,2896,48,318,14,39,39,17,28,1,
32,9,-1,214,0,65,59,134,43,2896,73,445,3,58,39,17,67,1,
65,89,-1,214,1,65,59,5,43,2896,71,914,11,60,39,17,51,1,
24,46,-1,214,0,65,59,119,43,2896,18,58,15,82,39,17,25,1,
24,46,-1,214,0,65,3,119,43,2896,18,58,15,82,39,17,25,1,
24,46,-1,214,0,71,3,119,43,2896,18,58,15,82,39,2,25,1,
69,65,-1,214,0,71,3,116,43,2896,88,214,7,42,39,2,22,1,
40,28,-1,214,1,71,3,108,43,2896,14,676,6,51,39,2,47,1,
40,28,-1,257,1,71,3,108,61,975,14,676,6,51,76,2,47,1,
16,7,-1,257,0,71,3,182,61,975,53,986,9,18,76,2,23,1,
16,7,-1,459,0,71,3,182,2,1639,53,986,9,18,76,2,23,1,
16,7,-1,999,0,71,3,182,47,511,53,986,9,18,14,2,23,1,
5,58,-1,999,1,71,3,38,47,511,100,74,0,19,14,2,72,1,
5,58,-1,999,1,11,3,38,47,511,100,74,0,19,14,36,72,1,
5,58,-1,999,1,25,3,38,47,511,100,74,0,19,14,8,72,1,
