load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,-1,857,0,0,7,0,2,2324,0,0,0,0,85,0,0,1,
0,0,2,183,0,0,7,0,65,1876,0,0,0,0,67,0,0,1,
0,0,2,183,0,0,33,0,65,1876,0,0,0,0,67,0,0,0,
0,0,2,183,0,0,75,0,65,1876,0,0,0,0,67,0,0,0,
0,0,2,183,0,0,66,0,65,1876,0,0,0,0,67,0,0,1,
0,0,2,183,0,16,66,0,65,1876,0,0,0,0,67,47,0,1,
0,0,3,560,0,16,66,0,70,2334,0,0,0,0,75,47,0,1,
43,19,3,560,0,16,66,223,70,2334,53,255,16,82,75,47,29,1,
68,62,3,560,0,16,66,123,70,2334,59,0,3,43,75,47,81,1,
27,53,3,560,0,16,66,29,70,2334,93,836,18,24,75,47,59,1,
27,53,1,999,0,16,66,29,13,3599,93,836,18,24,60,47,59,1,
72,35,1,999,0,16,66,148,13,3599,78,350,9,8,60,47,93,1,
72,35,0,778,0,16,66,148,77,3526,78,350,9,8,64,47,93,1,
72,35,-1,660,0,16,66,148,30,156,78,350,9,8,74,47,93,1,
72,35,3,452,0,16,66,148,51,233,78,350,9,8,13,47,93,1,
55,96,3,452,1,16,66,194,51,233,59,256,9,25,13,47,52,1,
55,96,3,452,1,70,66,194,51,233,59,256,9,25,13,0,52,1,
55,96,0,769,1,70,66,194,24,2314,59,256,9,25,12,0,52,1,
55,96,-1,73,1,70,66,194,91,3411,59,256,9,25,93,0,52,1,
55,96,-1,196,1,70,66,194,21,2989,59,256,9,25,80,0,52,1,
84,48,-1,196,0,70,66,188,21,2989,50,451,15,80,80,0,29,1,
76,34,-1,196,1,70,66,111,21,2989,5,903,7,75,80,0,82,1,
76,34,-1,688,1,70,66,111,45,2604,5,903,7,75,80,0,82,1,
76,34,2,941,1,70,66,111,64,3100,5,903,7,75,2,0,82,1,
95,89,2,941,0,70,66,45,64,3100,30,308,8,72,2,0,55,1,
29,19,2,941,1,70,66,232,64,3100,58,161,6,81,2,0,61,1,
29,19,2,164,1,70,66,232,60,2668,58,161,6,81,51,0,61,1,
29,19,2,164,1,70,24,232,60,2668,58,161,6,81,51,0,61,1,
29,19,3,82,1,70,24,232,97,1796,58,161,6,81,89,0,61,1,
29,19,0,971,1,70,24,232,20,99,58,161,6,81,36,0,61,1,
95,24,0,971,0,70,24,237,20,99,97,335,3,61,36,0,20,1,
95,24,2,446,0,70,24,237,84,3040,97,335,3,61,90,0,20,1,
95,24,3,231,0,70,24,237,25,1236,97,335,3,61,79,0,20,1,
20,68,3,231,1,70,24,175,25,1236,24,585,24,20,79,0,97,1,
87,46,3,231,0,70,24,28,25,1236,95,558,22,41,79,0,3,1,
87,46,3,231,0,53,24,28,25,1236,95,558,22,41,79,24,3,1,
32,73,3,231,0,53,24,138,25,1236,15,319,6,35,79,24,8,1,
32,73,3,231,0,42,24,138,25,1236,15,319,6,35,79,18,8,1,
32,73,3,231,0,40,24,138,25,1236,15,319,6,35,79,49,8,1,
32,73,3,231,0,24,24,138,25,1236,15,319,6,35,79,9,8,1,
32,73,3,231,0,46,24,138,25,1236,15,319,6,35,79,21,8,1,
32,73,3,231,0,55,24,138,25,1236,15,319,6,35,79,7,8,1,
46,47,3,231,0,55,24,77,25,1236,82,888,15,23,79,7,3,1,
83,49,3,231,1,55,24,107,25,1236,98,965,20,77,79,7,8,1,
83,49,0,356,1,55,24,107,33,3067,98,965,20,77,92,7,8,1,
83,49,0,356,1,53,24,107,33,3067,98,965,20,77,92,36,8,1,
83,49,0,356,1,72,24,107,33,3067,98,965,20,77,92,1,8,1,
83,49,0,356,1,72,95,107,33,3067,98,965,20,77,92,1,8,1,
83,49,0,356,1,28,95,107,33,3067,98,965,20,77,92,9,8,1,
83,49,0,356,1,15,95,107,33,3067,98,965,20,77,92,21,8,1,
46,96,0,356,1,15,95,182,33,3067,54,531,10,70,92,21,17,1,
46,96,0,356,1,15,25,182,33,3067,54,531,10,70,92,21,17,1,
46,96,0,356,1,15,0,182,33,3067,54,531,10,70,92,21,17,1,
46,96,0,356,1,15,88,182,33,3067,54,531,10,70,92,21,17,0,
46,96,0,356,1,15,21,182,33,3067,54,531,10,70,92,21,17,0,
46,96,2,106,1,15,21,182,80,219,54,531,10,70,70,21,17,0,
9,64,2,106,0,15,21,15,80,219,34,3,18,47,70,21,46,0,
9,64,2,106,0,15,2,15,80,219,34,3,18,47,70,21,46,0,
99,69,2,106,1,15,2,186,80,219,14,999,4,90,70,21,72,0,
99,69,2,106,1,15,26,186,80,219,14,999,4,90,70,21,72,0,
99,69,2,106,1,5,26,186,80,219,14,999,4,90,70,6,72,0,
99,69,2,106,1,5,21,186,80,219,14,999,4,90,70,6,72,1,
99,69,2,106,1,5,21,186,80,219,14,999,4,90,70,6,72,1,
99,69,2,106,1,73,21,186,80,219,14,999,4,90,70,10,72,1,
71,42,2,106,1,73,21,205,80,219,1,594,2,53,70,10,41,1,
71,42,-1,137,1,73,21,205,44,410,1,594,2,53,0,10,41,1,
71,42,-1,137,1,73,77,205,44,410,1,594,2,53,0,10,41,0,
71,42,2,830,1,73,77,205,6,1559,1,594,2,53,49,10,41,0,
71,42,2,687,1,73,77,205,98,3026,1,594,2,53,78,10,41,0,
71,42,0,548,1,73,77,205,21,2858,1,594,2,53,31,10,41,0,
39,61,0,548,1,73,77,4,21,2858,52,653,24,1,31,10,87,0,
55,93,0,548,1,73,77,8,21,2858,41,45,9,33,31,10,17,0,
55,93,0,548,1,73,83,8,21,2858,41,45,9,33,31,10,17,0,
55,93,0,548,1,60,83,8,21,2858,41,45,9,33,31,2,17,0,
55,93,0,548,1,60,18,8,21,2858,41,45,9,33,31,2,17,1,
55,93,0,548,1,40,18,8,21,2858,41,45,9,33,31,36,17,1,
45,84,0,548,0,40,18,48,21,2858,13,766,24,39,31,36,91,1,
45,84,0,548,0,42,18,48,21,2858,13,766,24,39,31,42,91,1,
45,84,0,548,0,56,18,48,21,2858,13,766,24,39,31,32,91,1,
3,73,0,548,0,56,18,196,21,2858,46,981,17,27,31,32,81,1,
3,73,0,548,0,75,18,196,21,2858,46,981,17,27,31,15,81,1,
3,73,0,548,0,92,18,196,21,2858,46,981,17,27,31,27,81,1,
3,73,0,548,0,17,18,196,21,2858,46,981,17,27,31,49,81,1,
3,73,0,80,0,17,18,196,84,960,46,981,17,27,18,49,81,1,
3,73,0,80,0,17,43,196,84,960,46,981,17,27,18,49,81,1,
3,73,3,996,0,17,43,196,5,1479,46,981,17,27,8,49,81,1,
3,73,3,996,0,17,46,196,5,1479,46,981,17,27,8,49,81,1,
3,73,2,421,0,17,46,196,58,2515,46,981,17,27,71,49,81,1,
3,73,2,421,0,17,36,196,58,2515,46,981,17,27,71,49,81,0,
3,73,2,738,0,17,36,196,83,1507,46,981,17,27,17,49,81,0,
3,73,3,66,0,17,36,196,34,3118,46,981,17,27,92,49,81,0,
3,73,3,66,0,74,36,196,34,3118,46,981,17,27,92,10,81,0,
94,79,3,66,1,74,36,146,34,3118,63,118,11,96,92,10,88,0,
94,79,-1,865,1,74,36,146,27,790,63,118,11,96,91,10,88,0,
94,79,-1,865,1,4,36,146,27,790,63,118,11,96,91,49,88,0,
94,79,0,270,1,4,36,146,87,3544,63,118,11,96,31,49,88,0,
94,79,0,270,1,93,36,146,87,3544,63,118,11,96,31,36,88,0,
94,79,0,270,1,93,4,146,87,3544,63,118,11,96,31,36,88,1,
43,52,0,270,1,93,4,183,87,3544,46,468,22,93,31,36,23,1,
43,52,0,270,1,93,59,183,87,3544,46,468,22,93,31,36,23,0,
43,52,0,270,1,96,59,183,87,3544,46,468,22,93,31,39,23,0,
43,52,0,270,1,66,59,183,87,3544,46,468,22,93,31,37,23,0,
43,52,1,781,1,66,59,183,37,1025,46,468,22,93,54,37,23,0,
64,44,1,781,0,66,59,203,37,1025,40,23,12,22,54,37,63,0,
64,44,1,781,0,84,59,203,37,1025,40,23,12,22,54,8,63,0,
85,82,1,781,1,84,59,64,37,1025,89,90,6,14,54,8,70,0,
85,82,1,781,1,78,59,64,37,1025,89,90,6,14,54,25,70,0,
85,82,1,781,1,83,59,64,37,1025,89,90,6,14,54,42,70,0,
85,82,1,781,1,16,59,64,37,1025,89,90,6,14,54,35,70,0,
85,82,1,781,1,16,71,64,37,1025,89,90,6,14,54,35,70,1,
85,82,3,114,1,16,71,64,10,267,89,90,6,14,15,35,70,1,
85,82,3,114,1,16,90,64,10,267,89,90,6,14,15,35,70,1,
79,73,3,114,0,16,90,160,10,267,37,289,23,64,15,35,62,1,
79,73,3,114,0,81,90,160,10,267,37,289,23,64,15,28,62,1,
79,73,-1,858,0,81,90,160,2,751,37,289,23,64,41,28,62,1,
79,73,-1,858,0,81,7,160,2,751,37,289,23,64,41,28,62,0,
79,73,-1,858,0,45,7,160,2,751,37,289,23,64,41,43,62,0,
79,73,-1,858,0,45,8,160,2,751,37,289,23,64,41,43,62,1,
79,73,-1,858,0,45,57,160,2,751,37,289,23,64,41,43,62,1,
79,73,-1,858,0,45,74,160,2,751,37,289,23,64,41,43,62,0,
79,73,0,111,0,45,74,160,85,1072,37,289,23,64,23,43,62,0,
79,73,0,111,0,45,46,160,85,1072,37,289,23,64,23,43,62,0,
96,63,0,111,0,45,46,25,85,1072,16,134,7,77,23,43,65,0,
13,43,0,111,1,45,46,227,85,1072,65,752,15,70,23,43,10,0,
60,42,0,111,0,45,46,228,85,1072,47,700,17,2,23,43,98,0,
40,87,0,111,1,45,46,173,85,1072,58,228,16,1,23,43,19,0,
18,0,0,111,0,45,46,96,85,1072,59,799,19,53,23,43,24,0,
30,65,0,111,1,45,46,214,85,1072,59,514,8,71,23,43,57,0,
30,65,0,111,1,37,46,214,85,1072,59,514,8,71,23,31,57,0,
30,65,0,111,1,32,46,214,85,1072,59,514,8,71,23,39,57,0,
30,65,0,111,1,32,39,214,85,1072,59,514,8,71,23,39,57,0,
30,65,0,111,1,32,29,214,85,1072,59,514,8,71,23,39,57,0,
30,65,0,111,1,18,29,214,85,1072,59,514,8,71,23,27,57,0,
30,65,0,111,1,16,29,214,85,1072,59,514,8,71,23,5,57,0,
30,65,0,111,1,16,34,214,85,1072,59,514,8,71,23,5,57,0,
30,65,0,111,1,58,34,214,85,1072,59,514,8,71,23,10,57,0,
93,24,0,111,0,58,34,73,85,1072,59,151,6,0,23,10,17,0,
93,24,0,111,0,26,34,73,85,1072,59,151,6,0,23,14,17,0,
93,24,0,111,0,26,42,73,85,1072,59,151,6,0,23,14,17,1,
77,24,0,111,1,26,42,11,85,1072,57,810,7,8,23,14,53,1,
77,24,0,111,1,26,63,11,85,1072,57,810,7,8,23,14,53,0,
77,24,0,111,1,5,63,11,85,1072,57,810,7,8,23,41,53,0,
77,24,1,843,1,5,63,11,66,3080,57,810,7,8,54,41,53,0,
77,24,1,843,1,61,63,11,66,3080,57,810,7,8,54,25,53,0,
77,24,1,745,1,61,63,11,13,1748,57,810,7,8,88,25,53,0,
77,24,2,633,1,61,63,11,20,763,57,810,7,8,56,25,53,0,
77,24,2,633,1,86,63,11,20,763,57,810,7,8,56,38,53,0,
77,24,2,633,1,86,23,11,20,763,57,810,7,8,56,38,53,0,
77,24,2,633,1,86,67,11,20,763,57,810,7,8,56,38,53,1,
77,24,3,339,1,86,67,11,85,1557,57,810,7,8,1,38,53,1,
77,24,3,339,1,13,67,11,85,1557,57,810,7,8,1,33,53,1,
37,44,3,339,1,13,67,7,85,1557,62,400,6,35,1,33,83,1,
37,44,3,339,1,13,16,7,85,1557,62,400,6,35,1,33,83,0,
37,44,2,408,1,13,16,7,81,695,62,400,6,35,89,33,83,0,
37,44,3,414,1,13,16,7,79,1127,62,400,6,35,50,33,83,0,
37,44,0,999,1,13,16,7,21,3065,62,400,6,35,6,33,83,0,
37,44,1,964,1,13,16,7,71,3567,62,400,6,35,30,33,83,0,
37,44,0,635,1,13,16,7,0,2017,62,400,6,35,3,33,83,0,
37,44,2,160,1,13,16,7,85,470,62,400,6,35,91,33,83,0,
83,16,2,160,0,13,16,12,85,470,16,225,11,95,91,33,35,0,
83,16,2,160,0,13,52,12,85,470,16,225,11,95,91,33,35,0,
41,43,2,160,0,13,52,146,85,470,73,74,4,53,91,33,26,0,
41,43,2,160,0,66,52,146,85,470,73,74,4,53,91,14,26,0,
32,82,2,160,1,66,52,176,85,470,5,914,19,63,91,14,68,0,
32,82,3,963,1,66,52,176,41,1895,5,914,19,63,58,14,68,0,
