load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,0,500,0,0,54,0,77,1325,0,0,0,0,36,0,0,1,
0,0,0,500,0,0,4,0,77,1325,0,0,0,0,36,0,0,0,
66,74,0,500,1,0,4,175,77,1325,45,1,18,35,36,0,24,0,
66,74,0,500,1,16,4,175,77,1325,45,1,18,35,36,20,24,0,
66,74,0,500,1,71,4,175,77,1325,45,1,18,35,36,21,24,0,
79,72,0,500,1,71,4,251,77,1325,72,962,13,41,36,21,81,0,
79,72,0,58,1,71,4,251,45,2196,72,962,13,41,81,21,81,0,
79,72,2,443,1,71,4,251,12,1614,72,962,13,41,77,21,81,0,
79,72,3,912,1,71,4,251,29,187,72,962,13,41,42,21,81,0,
79,72,3,912,1,96,4,251,29,187,72,962,13,41,42,44,81,0,
77,67,3,912,0,96,4,24,29,187,59,135,11,31,42,44,54,0,
17,16,3,912,0,96,4,250,29,187,5,951,21,17,42,44,90,0,
17,16,1,32,0,96,4,250,93,2236,5,951,21,17,51,44,90,0,
68,47,1,32,1,96,4,115,93,2236,81,525,14,34,51,44,21,0,
68,47,1,32,1,64,4,115,93,2236,81,525,14,34,51,33,21,0,
68,47,-1,757,1,64,4,115,94,1479,81,525,14,34,63,33,21,0,
68,47,2,416,1,64,4,115,80,2344,81,525,14,34,66,33,21,0,
68,47,2,416,1,74,4,115,80,2344,81,525,14,34,66,25,21,0,
68,47,-1,529,1,74,4,115,22,2603,81,525,14,34,60,25,21,0,
68,47,-1,529,1,29,4,115,22,2603,81,525,14,34,60,20,21,0,
68,47,2,306,1,29,4,115,39,1345,81,525,14,34,22,20,21,0,
68,47,2,306,1,54,4,115,39,1345,81,525,14,34,22,50,21,0,
68,47,2,306,1,54,99,115,39,1345,81,525,14,34,22,50,21,0,
68,47,3,969,1,54,99,115,99,1717,81,525,14,34,28,50,21,0,
68,47,3,969,1,51,99,115,99,1717,81,525,14,34,28,9,21,0,
68,47,3,969,1,93,99,115,99,1717,81,525,14,34,28,29,21,0,
85,93,3,969,0,93,99,59,99,1717,31,641,4,100,28,29,80,0,
22,93,3,969,0,93,99,61,99,1717,90,598,4,84,28,29,10,0,
22,93,0,248,0,93,99,61,47,1472,90,598,4,84,74,29,10,0,
