load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
68,65,0,0,0,0,4,4,0,0,0,530,19,3,0,0,35,0,
68,65,0,0,0,38,4,4,0,0,0,530,19,3,0,11,35,0,
68,65,0,0,0,16,4,4,0,0,0,530,19,3,0,20,35,0,
68,65,0,0,0,16,25,4,0,0,0,530,19,3,0,20,35,1,
68,65,0,8,0,16,25,4,6,2844,0,530,19,3,18,20,35,1,
56,69,0,8,1,16,25,43,6,2844,56,301,18,5,18,20,47,1,
17,85,0,8,1,16,25,124,6,2844,60,679,5,45,18,20,69,1,
33,41,0,8,1,16,25,242,6,2844,15,741,19,74,18,20,45,1,
33,41,0,8,1,16,6,242,6,2844,15,741,19,74,18,20,45,0,
21,35,0,8,1,16,6,13,6,2844,79,589,1,38,18,20,44,0,
56,60,0,8,1,16,6,60,6,2844,12,874,14,10,18,20,88,0,
56,60,0,8,1,16,2,60,6,2844,12,874,14,10,18,20,88,0,
56,60,3,947,1,16,2,60,29,234,12,874,14,10,33,20,88,0,
56,60,3,947,1,55,2,60,29,234,12,874,14,10,33,48,88,0,
56,60,2,165,1,55,2,60,64,1789,12,874,14,10,62,48,88,0,
56,60,-1,969,1,55,2,60,49,2167,12,874,14,10,56,48,88,0,
56,60,-1,969,1,55,34,60,49,2167,12,874,14,10,56,48,88,1,
56,60,1,422,1,55,34,60,85,2590,12,874,14,10,24,48,88,1,
56,60,1,422,1,55,2,60,85,2590,12,874,14,10,24,48,88,0,
56,60,3,826,1,55,2,60,25,1460,12,874,14,10,45,48,88,0,
56,60,3,792,1,55,2,60,5,2819,12,874,14,10,7,48,88,0,
56,60,3,731,1,55,2,60,22,3421,12,874,14,10,89,48,88,0,
56,60,3,731,1,55,69,60,22,3421,12,874,14,10,89,48,88,1,
75,19,3,731,0,55,69,155,22,3421,76,268,15,61,89,48,99,1,
75,19,3,731,0,93,69,155,22,3421,76,268,15,61,89,17,99,1,
75,19,3,731,0,93,22,155,22,3421,76,268,15,61,89,17,99,0,
75,19,3,731,0,93,95,155,22,3421,76,268,15,61,89,17,99,0,
75,19,3,731,0,78,95,155,22,3421,76,268,15,61,89,45,99,0,
8,52,3,731,1,78,95,230,22,3421,74,175,5,30,89,45,34,0,
65,5,3,731,1,78,95,15,22,3421,75,575,9,71,89,45,93,0,
65,5,1,87,1,78,95,15,77,1047,75,575,9,71,3,45,93,0,
80,66,1,87,0,78,95,233,77,1047,21,103,4,10,3,45,93,0,
19,43,1,87,0,78,95,138,77,1047,76,809,14,46,3,45,85,0,
19,43,1,87,0,76,95,138,77,1047,76,809,14,46,3,3,85,0,
19,43,1,87,0,54,95,138,77,1047,76,809,14,46,3,26,85,0,
43,79,1,87,0,54,95,239,77,1047,86,913,14,66,3,26,48,0,
47,7,1,87,1,54,95,183,77,1047,29,50,4,12,3,26,60,0,
47,7,0,721,1,54,95,183,13,5,29,50,4,12,60,26,60,0,
28,86,0,721,0,54,95,131,13,5,81,126,3,11,60,26,75,0,
28,86,3,871,0,54,95,131,88,2116,81,126,3,11,99,26,75,0,
28,86,3,871,0,54,58,131,88,2116,81,126,3,11,99,26,75,1,
34,51,3,871,0,54,58,242,88,2116,87,713,2,27,99,26,64,1,
23,84,3,871,0,54,58,185,88,2116,51,305,0,27,99,26,7,1,
77,30,3,871,0,54,58,168,88,2116,26,438,10,15,99,26,56,1,
92,71,3,871,0,54,58,27,88,2116,60,11,11,97,99,26,46,1,
75,4,3,871,1,54,58,234,88,2116,1,939,19,12,99,26,86,1,
75,4,2,688,1,54,58,234,71,2713,1,939,19,12,16,26,86,1,
75,4,2,688,1,52,58,234,71,2713,1,939,19,12,16,38,86,1,
75,4,2,688,1,52,93,234,71,2713,1,939,19,12,16,38,86,1,
93,36,2,688,0,52,93,118,71,2713,84,762,3,77,16,38,18,1,
93,36,2,688,0,2,93,118,71,2713,84,762,3,77,16,5,18,1,
78,36,2,688,1,2,93,226,71,2713,57,729,23,24,16,5,51,1,
78,36,2,694,1,2,93,226,45,2040,57,729,23,24,89,5,51,1,
78,36,2,694,1,14,93,226,45,2040,57,729,23,24,89,30,51,1,
78,36,-1,879,1,14,93,226,46,79,57,729,23,24,34,30,51,1,
78,36,-1,879,1,14,87,226,46,79,57,729,23,24,34,30,51,0,
78,36,1,471,1,14,87,226,95,802,57,729,23,24,17,30,51,0,
22,63,1,471,1,14,87,248,95,802,52,714,3,49,17,30,39,0,
78,46,1,471,1,14,87,116,95,802,37,579,13,12,17,30,76,0,
78,46,1,471,1,17,87,116,95,802,37,579,13,12,17,1,76,0,
78,46,3,13,1,17,87,116,13,2407,37,579,13,12,38,1,76,0,
14,59,3,13,0,17,87,108,13,2407,14,947,5,74,38,1,23,0,
14,59,0,719,0,17,87,108,1,3132,14,947,5,74,11,1,23,0,
14,59,3,742,0,17,87,108,63,3310,14,947,5,74,37,1,23,0,
14,59,0,812,0,17,87,108,76,695,14,947,5,74,91,1,23,0,
14,59,1,175,0,17,87,108,96,872,14,947,5,74,61,1,23,0,
14,59,1,175,0,17,96,108,96,872,14,947,5,74,61,1,23,0,
14,59,1,175,0,88,96,108,96,872,14,947,5,74,61,49,23,0,
14,59,1,175,0,86,96,108,96,872,14,947,5,74,61,28,23,0,
14,59,-1,186,0,86,96,108,25,2012,14,947,5,74,35,28,23,0,
14,59,-1,186,0,86,33,108,25,2012,14,947,5,74,35,28,23,0,
14,59,3,67,0,86,33,108,37,1843,14,947,5,74,73,28,23,0,
14,59,3,67,0,63,33,108,37,1843,14,947,5,74,73,17,23,0,
14,59,2,651,0,63,33,108,15,201,14,947,5,74,90,17,23,0,
14,59,2,651,0,62,33,108,15,201,14,947,5,74,90,41,23,0,
14,59,2,651,0,74,33,108,15,201,14,947,5,74,90,44,23,0,
57,100,2,651,1,74,33,58,15,201,53,851,15,56,90,44,66,0,
1,36,2,651,1,74,33,0,15,201,44,633,5,32,90,44,22,0,
12,100,2,651,1,74,33,238,15,201,98,918,16,14,90,44,20,0,
12,100,2,651,1,74,92,238,15,201,98,918,16,14,90,44,20,0,
12,100,2,651,1,52,92,238,15,201,98,918,16,14,90,24,20,0,
12,100,2,651,1,68,92,238,15,201,98,918,16,14,90,6,20,0,
8,53,2,651,0,68,92,126,15,201,93,542,9,47,90,6,49,0,
8,53,2,651,0,23,92,126,15,201,93,542,9,47,90,11,49,0,
8,53,2,651,0,31,92,126,15,201,93,542,9,47,90,8,49,0,
8,53,2,612,0,31,92,126,37,10,93,542,9,47,93,8,49,0,
8,53,0,597,0,31,92,126,25,1887,93,542,9,47,48,8,49,0,
8,53,0,597,0,31,50,126,25,1887,93,542,9,47,48,8,49,1,
8,53,0,597,0,11,50,126,25,1887,93,542,9,47,48,7,49,1,
8,53,0,597,0,90,50,126,25,1887,93,542,9,47,48,18,49,1,
8,53,3,385,0,90,50,126,18,618,93,542,9,47,49,18,49,1,
47,49,3,385,1,90,50,73,18,618,44,969,5,92,49,18,27,1,
47,49,3,385,1,90,75,73,18,618,44,969,5,92,49,18,27,0,
25,85,3,385,0,90,75,105,18,618,85,601,22,27,49,18,48,0,
25,85,0,390,0,90,75,105,24,1691,85,601,22,27,5,18,48,0,
25,85,3,148,0,90,75,105,39,2544,85,601,22,27,98,18,48,0,
25,85,3,148,0,94,75,105,39,2544,85,601,22,27,98,14,48,0,
25,85,2,585,0,94,75,105,38,2691,85,601,22,27,47,14,48,0,
25,85,2,585,0,2,75,105,38,2691,85,601,22,27,47,41,48,0,
21,19,2,585,0,2,75,115,38,2691,31,215,12,68,47,41,51,0,
64,3,2,585,0,2,75,120,38,2691,68,512,6,98,47,41,40,0,
64,3,2,585,0,2,80,120,38,2691,68,512,6,98,47,41,40,0,
64,3,2,585,0,63,80,120,38,2691,68,512,6,98,47,39,40,0,
64,3,2,585,0,63,95,120,38,2691,68,512,6,98,47,39,40,0,
87,27,2,585,1,63,95,119,38,2691,82,567,19,29,47,39,45,0,
87,27,2,585,1,71,95,119,38,2691,82,567,19,29,47,29,45,0,
87,27,2,585,1,71,63,119,38,2691,82,567,19,29,47,29,45,0,
87,27,2,585,1,79,63,119,38,2691,82,567,19,29,47,49,45,0,
87,27,2,585,1,79,59,119,38,2691,82,567,19,29,47,49,45,0,
87,27,2,585,1,98,59,119,38,2691,82,567,19,29,47,2,45,0,
87,27,0,517,1,98,59,119,3,2454,82,567,19,29,2,2,45,0,
87,27,1,295,1,98,59,119,12,2056,82,567,19,29,51,2,45,0,
87,27,-1,439,1,98,59,119,70,2066,82,567,19,29,72,2,45,0,
87,27,-1,711,1,98,59,119,30,2594,82,567,19,29,35,2,45,0,
87,27,-1,711,1,98,29,119,30,2594,82,567,19,29,35,2,45,0,
87,27,-1,711,1,98,23,119,30,2594,82,567,19,29,35,2,45,1,
87,27,1,210,1,98,23,119,84,674,82,567,19,29,3,2,45,1,
87,27,1,210,1,98,75,119,84,674,82,567,19,29,3,2,45,1,
44,12,1,210,0,98,75,221,84,674,26,375,17,16,3,2,9,1,
36,58,1,210,0,98,75,143,84,674,27,880,21,20,3,2,94,1,
36,58,1,210,0,98,52,143,84,674,27,880,21,20,3,2,94,0,
36,58,1,210,0,57,52,143,84,674,27,880,21,20,3,44,94,0,
36,58,2,999,0,57,52,143,23,3346,27,880,21,20,46,44,94,0,
