load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,3,788,0,0,54,0,87,1526,0,0,0,0,21,0,0,0,
0,0,3,788,0,0,23,0,87,1526,0,0,0,0,21,0,0,0,
0,0,3,788,0,0,50,0,87,1526,0,0,0,0,21,0,0,0,
0,0,-1,696,0,0,50,0,91,1727,0,0,0,0,20,0,0,0,
0,0,-1,696,0,0,20,0,91,1727,0,0,0,0,20,0,0,1,
0,0,3,264,0,0,20,0,80,3295,0,0,0,0,67,0,0,1,
0,0,3,264,0,0,72,0,80,3295,0,0,0,0,67,0,0,1,
0,0,3,264,0,0,100,0,80,3295,0,0,0,0,67,0,0,0,
90,45,3,264,1,0,100,72,80,3295,47,234,14,12,67,0,55,0,
80,42,3,264,1,0,100,220,80,3295,41,77,4,37,67,0,28,0,
80,42,3,264,1,0,75,220,80,3295,41,77,4,37,67,0,28,1,
80,42,3,264,1,75,75,220,80,3295,41,77,4,37,67,5,28,1,
80,42,3,264,1,75,77,220,80,3295,41,77,4,37,67,5,28,0,
0,46,3,264,0,75,77,52,80,3295,30,903,20,34,67,5,91,0,
0,46,3,264,0,76,77,52,80,3295,30,903,20,34,67,5,91,0,
0,46,3,864,0,76,77,52,45,3219,30,903,20,34,90,5,91,0,
0,46,3,864,0,32,77,52,45,3219,30,903,20,34,90,9,91,0,
0,46,0,617,0,32,77,52,93,776,30,903,20,34,27,9,91,0,
0,46,0,617,0,100,77,52,93,776,30,903,20,34,27,40,91,0,
0,46,0,617,0,100,35,52,93,776,30,903,20,34,27,40,91,0,
28,46,0,617,1,100,35,114,93,776,97,46,7,15,27,40,26,0,
34,26,0,617,0,100,35,234,93,776,79,637,12,86,27,40,39,0,
34,26,0,617,0,100,83,234,93,776,79,637,12,86,27,40,39,1,
87,39,0,617,1,100,83,114,93,776,72,364,10,98,27,40,40,1,
84,39,0,617,0,100,83,21,93,776,67,402,2,94,27,40,88,1,
84,39,-1,116,0,100,83,21,26,1984,67,402,2,94,12,40,88,1,
0,20,-1,116,0,100,83,166,26,1984,90,164,17,41,12,40,30,1,
0,20,-1,116,0,92,83,166,26,1984,90,164,17,41,12,27,30,1,
0,20,-1,116,0,71,83,166,26,1984,90,164,17,41,12,40,30,1,
0,20,3,488,0,71,83,166,73,1730,90,164,17,41,23,40,30,1,
41,19,3,488,0,71,83,122,73,1730,37,755,24,56,23,40,79,1,
41,19,3,488,0,71,74,122,73,1730,37,755,24,56,23,40,79,1,
41,19,3,488,0,71,1,122,73,1730,37,755,24,56,23,40,79,1,
41,19,3,488,0,44,1,122,73,1730,37,755,24,56,23,18,79,1,
36,57,3,488,1,44,1,63,73,1730,47,260,23,89,23,18,70,1,
36,57,3,488,1,44,38,63,73,1730,47,260,23,89,23,18,70,1,
36,57,2,113,1,44,38,63,24,2136,47,260,23,89,24,18,70,1,
36,57,1,928,1,44,38,63,31,358,47,260,23,89,90,18,70,1,
36,57,1,928,1,44,84,63,31,358,47,260,23,89,90,18,70,1,
36,57,2,535,1,44,84,63,9,1166,47,260,23,89,35,18,70,1,
36,57,1,389,1,44,84,63,92,689,47,260,23,89,5,18,70,1,
36,57,1,389,1,100,84,63,92,689,47,260,23,89,5,0,70,1,
36,57,1,389,1,22,84,63,92,689,47,260,23,89,5,9,70,1,
99,76,1,389,1,22,84,166,92,689,11,427,11,18,5,9,23,1,
99,76,1,389,1,16,84,166,92,689,11,427,11,18,5,35,23,1,
99,76,1,389,1,49,84,166,92,689,11,427,11,18,5,30,23,1,
42,90,1,389,1,49,84,109,92,689,1,942,12,12,5,30,48,1,
42,90,1,389,1,61,84,109,92,689,1,942,12,12,5,25,48,1,
42,90,0,868,1,61,84,109,75,1562,1,942,12,12,82,25,48,1,
42,90,0,868,1,41,84,109,75,1562,1,942,12,12,82,38,48,1,
