load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,-1,323,0,0,0,0,62,2885,0,0,0,0,0,0,0,0,
45,33,-1,323,1,0,0,6,62,2885,63,781,20,86,0,0,43,0,
45,33,-1,925,1,0,0,6,24,273,63,781,20,86,81,0,43,0,
45,33,-1,925,1,50,0,6,24,273,63,781,20,86,81,0,43,0,
45,33,2,666,1,50,0,6,9,504,63,781,20,86,74,0,43,0,
45,33,-1,495,1,50,0,6,70,3138,63,781,20,86,19,0,43,0,
45,33,-1,495,1,50,54,6,70,3138,63,781,20,86,19,0,43,1,
38,99,-1,495,1,50,54,215,70,3138,51,654,10,8,19,0,33,1,
38,99,-1,943,1,50,54,215,11,2834,51,654,10,8,35,0,33,1,
26,52,-1,943,0,50,54,151,11,2834,55,688,14,62,35,0,8,1,
21,31,-1,943,0,50,54,112,11,2834,74,134,14,15,35,0,35,1,
21,31,3,880,0,50,54,112,74,110,74,134,14,15,21,0,35,1,
21,31,3,880,0,90,54,112,74,110,74,134,14,15,21,43,35,1,
