load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
58,73,0,0,0,0,0,75,0,0,74,585,19,58,0,0,38,0,
58,73,0,0,0,0,78,75,0,0,74,585,19,58,0,0,38,1,
58,73,3,902,0,0,78,75,32,1261,74,585,19,58,42,0,38,1,
58,73,3,902,0,0,53,75,32,1261,74,585,19,58,42,0,38,0,
27,75,3,902,0,0,53,92,32,1261,40,513,4,81,42,0,63,0,
27,75,3,902,0,0,87,92,32,1261,40,513,4,81,42,0,63,0,
27,75,1,895,0,0,87,92,22,1618,40,513,4,81,52,0,63,0,
16,50,1,895,1,0,87,76,22,1618,41,703,18,15,52,0,10,0,
52,40,1,895,1,0,87,215,22,1618,6,5,16,8,52,0,93,0,
12,62,1,895,1,0,87,142,22,1618,42,936,21,69,52,0,32,0,
12,62,3,634,1,0,87,142,89,2615,42,936,21,69,31,0,32,0,
12,62,3,634,1,41,87,142,89,2615,42,936,21,69,31,2,32,0,
12,62,3,634,1,41,72,142,89,2615,42,936,21,69,31,2,32,1,
12,62,3,634,1,41,93,142,89,2615,42,936,21,69,31,2,32,0,
12,62,3,634,1,44,93,142,89,2615,42,936,21,69,31,50,32,0,
12,62,1,197,1,44,93,142,20,1056,42,936,21,69,81,50,32,0,
12,62,1,197,1,44,44,142,20,1056,42,936,21,69,81,50,32,1,
78,52,1,197,1,44,44,124,20,1056,58,364,6,72,81,50,5,1,
78,52,1,197,1,77,44,124,20,1056,58,364,6,72,81,10,5,1,
5,96,1,197,0,77,44,45,20,1056,37,471,13,26,81,10,52,1,
5,96,1,197,0,63,44,45,20,1056,37,471,13,26,81,35,52,1,
5,96,0,284,0,63,44,45,30,842,37,471,13,26,41,35,52,1,
5,96,0,284,0,29,44,45,30,842,37,471,13,26,41,9,52,1,
5,96,-1,883,0,29,44,45,72,2716,37,471,13,26,93,9,52,1,
5,96,-1,883,0,29,27,45,72,2716,37,471,13,26,93,9,52,1,
5,96,-1,883,0,60,27,45,72,2716,37,471,13,26,93,2,52,1,
88,41,-1,883,0,60,27,235,72,2716,49,89,23,24,93,2,74,1,
88,41,-1,883,0,18,27,235,72,2716,49,89,23,24,93,36,74,1,
88,41,-1,883,0,43,27,235,72,2716,49,89,23,24,93,16,74,1,
88,41,-1,883,0,43,99,235,72,2716,49,89,23,24,93,16,74,1,
88,41,-1,883,0,80,99,235,72,2716,49,89,23,24,93,21,74,1,
88,41,-1,883,0,29,99,235,72,2716,49,89,23,24,93,42,74,1,
88,41,-1,883,0,29,49,235,72,2716,49,89,23,24,93,42,74,1,
88,41,-1,883,0,51,49,235,72,2716,49,89,23,24,93,7,74,1,
88,41,-1,883,0,51,32,235,72,2716,49,89,23,24,93,7,74,0,
82,14,-1,883,0,51,32,192,72,2716,76,442,5,93,93,7,42,0,
82,14,-1,883,0,51,10,192,72,2716,76,442,5,93,93,7,42,0,
82,14,2,706,0,51,10,192,61,1368,76,442,5,93,61,7,42,0,
83,13,2,706,1,51,10,48,61,1368,55,454,6,31,61,7,23,0,
85,32,2,706,0,51,10,93,61,1368,83,997,0,22,61,7,3,0,
85,32,3,154,0,51,10,93,83,1048,83,997,0,22,51,7,3,0,
85,32,3,154,0,85,10,93,83,1048,83,997,0,22,51,48,3,0,
85,32,0,207,0,85,10,93,93,889,83,997,0,22,40,48,3,0,
26,5,0,207,0,85,10,196,93,889,1,749,18,52,40,48,97,0,
26,5,0,207,0,85,72,196,93,889,1,749,18,52,40,48,97,1,
26,5,0,207,0,52,72,196,93,889,1,749,18,52,40,19,97,1,
26,5,0,207,0,52,33,196,93,889,1,749,18,52,40,19,97,0,
26,5,0,207,0,16,33,196,93,889,1,749,18,52,40,40,97,0,
26,5,3,296,0,16,33,196,44,257,1,749,18,52,99,40,97,0,
26,5,3,296,0,17,33,196,44,257,1,749,18,52,99,21,97,0,
2,67,3,296,1,17,33,131,44,257,82,641,23,62,99,21,8,0,
45,76,3,296,1,17,33,209,44,257,19,4,8,10,99,21,41,0,
