load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,21,0,0,0,0,0,0,0,0,73,0,0,30,0,0,0,0,
96,55,0,0,0,21,73,252,0,0,30,709,18,50,0,30,24,0,
96,55,0,0,0,21,62,252,0,0,30,709,18,50,0,30,24,0,
96,55,2,750,0,21,62,252,18,712,30,709,18,50,47,30,24,0,
96,55,2,750,0,21,49,252,18,712,30,709,18,50,47,30,24,0,
96,55,0,528,0,21,49,252,98,630,30,709,18,50,7,30,24,0,
3,45,0,528,0,21,49,12,98,630,4,408,9,38,7,30,79,0,
3,45,0,528,0,21,90,12,98,630,4,408,9,38,7,30,79,0,
36,79,0,528,1,21,90,215,98,630,84,957,2,11,7,30,18,0,
3,24,0,528,0,21,90,133,98,630,8,194,5,84,7,30,45,0,
3,24,0,528,0,42,90,133,98,630,8,194,5,84,7,33,45,0,
3,24,0,528,0,42,55,133,98,630,8,194,5,84,7,33,45,0,
3,24,0,528,0,42,9,133,98,630,8,194,5,84,7,33,45,0,
3,24,0,528,0,60,9,133,98,630,8,194,5,84,7,19,45,0,
3,24,3,752,0,60,9,133,61,2735,8,194,5,84,75,19,45,0,
3,24,2,208,0,60,9,133,36,872,8,194,5,84,72,19,45,0,
3,24,2,208,0,63,9,133,36,872,8,194,5,84,72,22,45,0,
3,24,2,208,0,63,59,133,36,872,8,194,5,84,72,22,45,1,
3,24,2,208,0,80,59,133,36,872,8,194,5,84,72,45,45,1,
3,24,2,773,0,80,59,133,87,1673,8,194,5,84,29,45,45,1,
28,23,2,773,1,80,59,130,87,1673,49,587,22,92,29,45,0,1,
28,23,3,799,1,80,59,130,15,808,49,587,22,92,5,45,0,1,
28,23,3,799,1,80,5,130,15,808,49,587,22,92,5,45,0,1,
60,44,3,799,1,80,5,129,15,808,8,987,8,22,5,45,86,1,
53,53,3,799,1,80,5,134,15,808,63,469,8,95,5,45,97,1,
53,53,0,567,1,80,5,134,36,2710,63,469,8,95,99,45,97,1,
53,53,0,567,1,37,5,134,36,2710,63,469,8,95,99,42,97,1,
82,8,0,567,0,37,5,210,36,2710,98,998,8,5,99,42,64,1,
94,45,0,567,0,37,5,60,36,2710,25,742,19,93,99,42,46,1,
20,73,0,567,1,37,5,114,36,2710,10,175,21,95,99,42,68,1,
20,73,1,661,1,37,5,114,3,1613,10,175,21,95,4,42,68,1,
5,31,1,661,1,37,5,94,3,1613,43,734,10,49,4,42,28,1,
21,66,1,661,0,37,5,237,3,1613,89,504,7,70,4,42,25,1,
21,66,1,661,0,37,39,237,3,1613,89,504,7,70,4,42,25,0,
21,66,1,661,0,94,39,237,3,1613,89,504,7,70,4,27,25,0,
5,2,1,661,1,94,39,124,3,1613,19,183,5,62,4,27,56,0,
5,2,1,661,1,94,64,124,3,1613,19,183,5,62,4,27,56,0,
5,2,1,661,1,94,67,124,3,1613,19,183,5,62,4,27,56,0,
5,2,0,71,1,94,67,124,42,458,19,183,5,62,52,27,56,0,
5,2,0,71,1,94,89,124,42,458,19,183,5,62,52,27,56,0,
5,2,0,71,1,11,89,124,42,458,19,183,5,62,52,35,56,0,
5,2,0,71,1,11,11,124,42,458,19,183,5,62,52,35,56,0,
5,2,1,416,1,11,11,124,27,179,19,183,5,62,92,35,56,0,
5,2,2,796,1,11,11,124,59,2197,19,183,5,62,51,35,56,0,
54,85,2,796,1,11,11,252,59,2197,77,735,5,46,51,35,28,0,
54,85,2,21,1,11,11,252,76,1171,77,735,5,46,44,35,28,0,
54,85,3,988,1,11,11,252,63,1872,77,735,5,46,84,35,28,0,
54,85,0,84,1,11,11,252,48,3413,77,735,5,46,58,35,28,0,
33,25,0,84,0,11,11,121,48,3413,79,113,21,60,58,35,55,0,
33,25,0,84,0,11,56,121,48,3413,79,113,21,60,58,35,55,0,
40,66,0,84,0,11,56,236,48,3413,62,851,21,70,58,35,71,0,
40,66,0,84,0,14,56,236,48,3413,62,851,21,70,58,24,71,0,
40,66,0,84,0,14,64,236,48,3413,62,851,21,70,58,24,71,0,
40,66,0,84,0,56,64,236,48,3413,62,851,21,70,58,41,71,0,
40,66,0,84,0,0,64,236,48,3413,62,851,21,70,58,38,71,0,
40,66,0,84,0,0,42,236,48,3413,62,851,21,70,58,38,71,0,
40,66,0,84,0,0,35,236,48,3413,62,851,21,70,58,38,71,0,
40,66,0,84,0,0,50,236,48,3413,62,851,21,70,58,38,71,1,
40,66,-1,786,0,0,50,236,42,2609,62,851,21,70,43,38,71,1,
