load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,
0,49,0,0,0,0,0,0,0,0,44,0,0,18,0,0,0,0,
10,77,0,0,0,49,44,128,0,0,22,958,14,19,0,18,37,0,
36,53,0,0,0,49,44,245,0,0,28,611,20,88,0,18,31,0,
36,53,0,0,0,49,85,245,0,0,28,611,20,88,0,18,31,0,
36,53,-1,452,0,49,85,245,81,2872,28,611,20,88,1,18,31,0,
36,53,1,950,0,49,85,245,64,2410,28,611,20,88,50,18,31,0,
36,53,-1,318,0,49,85,245,44,2322,28,611,20,88,96,18,31,0,
36,53,-1,318,0,98,85,245,44,2322,28,611,20,88,96,46,31,0,
99,31,-1,318,1,98,85,97,44,2322,58,16,10,4,96,46,82,0,
87,77,-1,318,1,98,85,61,44,2322,42,191,6,40,96,46,40,0,
87,77,-1,318,1,98,21,61,44,2322,42,191,6,40,96,46,40,1,
