load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
99,80,0,0,1,64,0,2,0,0,75,287,9,18,0,43,58,0,
0,72,0,0,1,64,0,47,0,0,16,739,11,19,0,43,10,0,
0,72,3,622,1,64,0,47,64,3256,16,739,11,19,59,43,10,0,
0,72,3,622,1,64,0,47,64,3256,16,739,11,19,59,43,10,0,
0,72,3,622,1,61,0,47,64,3256,16,739,11,19,59,31,10,0,
0,72,3,622,1,51,0,47,64,3256,16,739,11,19,59,9,10,0,
0,72,3,622,1,61,0,47,64,3256,16,739,11,19,59,21,10,0,
0,72,2,538,1,61,0,47,40,317,16,739,11,19,23,21,10,0,
81,51,2,538,1,61,0,137,40,317,84,864,22,82,23,21,2,0,
81,51,2,538,1,61,99,137,40,317,84,864,22,82,23,21,2,0,
82,24,2,538,1,61,99,96,40,317,10,452,12,17,23,21,75,0,
92,11,2,538,0,61,99,75,40,317,62,172,4,91,23,21,13,0,
92,11,2,538,0,61,97,75,40,317,62,172,4,91,23,21,13,0,
92,11,2,538,0,24,97,75,40,317,62,172,4,91,23,0,13,0,
92,11,2,538,0,81,97,75,40,317,62,172,4,91,23,1,13,0,
92,11,2,538,0,81,78,75,40,317,62,172,4,91,23,1,13,1,
92,11,3,546,0,81,78,75,6,449,62,172,4,91,39,1,13,1,
92,11,2,919,0,81,78,75,24,2940,62,172,4,91,74,1,13,1,
92,11,2,919,0,97,78,75,24,2940,62,172,4,91,74,29,13,1,
92,11,1,403,0,97,78,75,55,1174,62,172,4,91,43,29,13,1,
92,11,1,403,0,97,93,75,55,1174,62,172,4,91,43,29,13,0,
92,11,-1,535,0,97,93,75,35,3419,62,172,4,91,32,29,13,0,
92,11,-1,535,0,97,35,75,35,3419,62,172,4,91,32,29,13,1,
25,20,-1,535,0,97,35,132,35,3419,26,40,10,29,32,29,44,1,
25,20,0,983,0,97,35,132,22,2170,26,40,10,29,75,29,44,1,
25,20,0,983,0,97,4,132,22,2170,26,40,10,29,75,29,44,1,
25,20,0,983,0,97,57,132,22,2170,26,40,10,29,75,29,44,1,
65,12,0,983,1,97,57,0,22,2170,29,926,1,91,75,29,58,1,
65,12,0,983,1,97,27,0,22,2170,29,926,1,91,75,29,58,0,
33,99,0,983,0,97,27,13,22,2170,88,494,4,5,75,29,50,0,
33,99,0,983,0,97,74,13,22,2170,88,494,4,5,75,29,50,1,
33,99,0,983,0,94,74,13,22,2170,88,494,4,5,75,11,50,1,
33,99,-1,460,0,94,74,13,70,3024,88,494,4,5,13,11,50,1,
33,99,-1,460,0,34,74,13,70,3024,88,494,4,5,13,4,50,1,
44,51,-1,460,1,34,74,97,70,3024,27,489,9,87,13,4,56,1,
44,51,3,821,1,34,74,97,76,3522,27,489,9,87,46,4,56,1,
42,37,3,821,0,34,74,129,76,3522,100,973,18,97,46,4,88,1,
42,37,0,822,0,34,74,129,58,1835,100,973,18,97,45,4,88,1,
42,37,0,822,0,75,74,129,58,1835,100,973,18,97,45,43,88,1,
42,37,0,822,0,75,44,129,58,1835,100,973,18,97,45,43,88,0,
4,87,0,822,1,75,44,245,58,1835,91,267,21,20,45,43,71,0,
4,87,0,822,1,56,44,245,58,1835,91,267,21,20,45,37,71,0,
4,87,1,11,1,56,44,245,5,2058,91,267,21,20,46,37,71,0,
4,87,1,11,1,56,8,245,5,2058,91,267,21,20,46,37,71,0,
4,87,1,20,1,56,8,245,8,439,91,267,21,20,73,37,71,0,
21,88,1,20,0,56,8,0,8,439,28,337,9,12,73,37,93,0,
14,18,1,20,1,56,8,101,8,439,60,83,19,51,73,37,49,0,
14,18,0,786,1,56,8,101,60,2847,60,83,19,51,76,37,49,0,
14,18,0,786,1,56,96,101,60,2847,60,83,19,51,76,37,49,1,
50,82,0,786,0,56,96,134,60,2847,5,407,10,56,76,37,47,1,
50,82,2,527,0,56,96,134,33,708,5,407,10,56,20,37,47,1,
50,82,2,527,0,74,96,134,33,708,5,407,10,56,20,14,47,1,
50,82,2,527,0,7,96,134,33,708,5,407,10,56,20,47,47,1,
59,30,2,527,0,7,96,155,33,708,78,459,17,75,20,47,63,1,
99,82,2,527,1,7,96,0,33,708,12,894,0,84,20,47,69,1,
99,82,0,557,1,7,96,0,40,993,12,894,0,84,3,47,69,1,
