load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,54,0,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,
0,54,0,0,0,0,0,0,0,0,39,0,0,15,0,0,0,1,
0,28,0,0,0,0,0,0,0,0,39,0,0,31,0,0,0,1,
0,0,0,492,0,28,39,0,65,3255,0,0,0,0,50,31,0,1,
0,0,2,926,0,28,39,0,9,2592,0,0,0,0,87,31,0,1,
0,0,2,926,0,29,39,0,9,2592,0,0,0,0,87,22,0,1,
96,91,2,926,1,29,39,35,9,2592,31,704,8,21,87,22,17,1,
96,91,2,285,1,29,39,35,78,1318,31,704,8,21,28,22,17,1,
96,91,2,285,1,29,22,35,78,1318,31,704,8,21,28,22,17,1,
96,91,2,285,1,98,22,35,78,1318,31,704,8,21,28,14,17,1,
59,79,2,285,1,98,22,33,78,1318,100,995,13,44,28,14,57,1,
39,83,2,285,1,98,22,122,78,1318,11,87,0,14,28,14,45,1,
39,83,2,285,1,98,34,122,78,1318,11,87,0,14,28,14,45,1,
39,83,2,285,1,99,34,122,78,1318,11,87,0,14,28,2,45,1,
39,83,2,604,1,99,34,122,36,2283,11,87,0,14,17,2,45,1,
39,83,2,604,1,46,34,122,36,2283,11,87,0,14,17,27,45,1,
39,83,2,604,1,46,54,122,36,2283,11,87,0,14,17,27,45,0,
39,83,2,604,1,50,54,122,36,2283,11,87,0,14,17,35,45,0,
39,83,2,604,1,50,37,122,36,2283,11,87,0,14,17,35,45,1,
39,83,2,604,1,65,37,122,36,2283,11,87,0,14,17,48,45,1,
39,83,2,604,1,65,92,122,36,2283,11,87,0,14,17,48,45,0,
39,83,2,699,1,65,92,122,81,1816,11,87,0,14,4,48,45,0,
39,83,2,416,1,65,92,122,53,2280,11,87,0,14,65,48,45,0,
84,1,2,416,1,65,92,155,53,2280,88,112,13,75,65,48,16,0,
84,1,2,416,1,26,92,155,53,2280,88,112,13,75,65,19,16,0,
84,1,2,416,1,90,92,155,53,2280,88,112,13,75,65,16,16,0,
84,1,2,416,1,71,92,155,53,2280,88,112,13,75,65,33,16,0,
84,1,3,668,1,71,92,155,21,2640,88,112,13,75,98,33,16,0,
