load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
7,84,0,0,1,50,0,182,0,0,59,807,22,4,0,46,64,0,
7,84,-1,659,1,50,0,182,73,2994,59,807,22,4,39,46,64,0,
7,84,2,265,1,50,0,182,93,648,59,807,22,4,86,46,64,0,
7,84,2,265,1,50,39,182,93,648,59,807,22,4,86,46,64,1,
7,84,-1,881,1,50,39,182,7,3394,59,807,22,4,87,46,64,1,
72,16,-1,881,1,50,39,21,7,3394,55,570,22,2,87,46,13,1,
45,16,-1,881,0,50,39,228,7,3394,100,478,0,49,87,46,39,1,
45,16,-1,881,0,20,39,228,7,3394,100,478,0,49,87,18,39,1,
45,16,-1,881,0,70,39,228,7,3394,100,478,0,49,87,35,39,1,
47,10,-1,881,0,70,39,12,7,3394,93,201,6,81,87,35,51,1,
24,91,-1,881,0,70,39,67,7,3394,5,724,17,21,87,35,20,1,
80,99,-1,881,0,70,39,47,7,3394,70,524,20,84,87,35,21,1,
80,99,1,196,0,70,39,47,87,2629,70,524,20,84,7,35,21,1,
80,99,1,196,0,70,44,47,87,2629,70,524,20,84,7,35,21,1,
80,99,1,196,0,70,29,47,87,2629,70,524,20,84,7,35,21,0,
80,99,3,242,0,70,29,47,47,519,70,524,20,84,44,35,21,0,
80,99,-1,63,0,70,29,47,42,988,70,524,20,84,92,35,21,0,
44,14,-1,63,0,70,29,15,42,988,64,409,14,57,92,35,9,0,
92,44,-1,63,0,70,29,80,42,988,70,879,22,74,92,35,43,0,
92,44,-1,63,0,70,52,80,42,988,70,879,22,74,92,35,43,1,
53,71,-1,63,1,70,52,158,42,988,35,843,7,51,92,35,12,1,
13,46,-1,63,0,70,52,181,42,988,75,508,12,40,92,35,12,1,
13,46,3,883,0,70,52,181,81,1032,75,508,12,40,28,35,12,1,
13,46,3,883,0,46,52,181,81,1032,75,508,12,40,28,23,12,1,
13,46,3,883,0,19,52,181,81,1032,75,508,12,40,28,35,12,1,
13,46,3,883,0,19,24,181,81,1032,75,508,12,40,28,35,12,0,
13,46,3,883,0,19,9,181,81,1032,75,508,12,40,28,35,12,1,
13,46,3,883,0,25,9,181,81,1032,75,508,12,40,28,48,12,1,
13,46,2,502,0,25,9,181,23,723,75,508,12,40,43,48,12,1,
13,46,2,342,0,25,9,181,46,229,75,508,12,40,61,48,12,1,
13,46,2,342,0,19,9,181,46,229,75,508,12,40,61,41,12,1,
13,46,2,211,0,19,9,181,26,1086,75,508,12,40,36,41,12,1,
13,46,2,211,0,5,9,181,26,1086,75,508,12,40,36,29,12,1,
13,46,2,211,0,82,9,181,26,1086,75,508,12,40,36,2,12,1,
