load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
94,96,0,0,1,0,0,240,0,0,59,476,12,48,0,0,85,1,
94,96,0,0,1,0,72,240,0,0,59,476,12,48,0,0,85,1,
94,96,3,101,1,0,72,240,19,1988,59,476,12,48,52,0,85,1,
94,96,3,101,1,72,72,240,19,1988,59,476,12,48,52,33,85,1,
94,96,3,101,1,72,46,240,19,1988,59,476,12,48,52,33,85,1,
94,96,-1,229,1,72,46,240,14,723,59,476,12,48,67,33,85,1,
94,96,-1,229,1,6,46,240,14,723,59,476,12,48,67,4,85,1,
94,96,-1,229,1,6,0,240,14,723,59,476,12,48,67,4,85,1,
94,96,2,452,1,6,0,240,62,412,59,476,12,48,20,4,85,1,
94,96,2,452,1,6,78,240,62,412,59,476,12,48,20,4,85,0,
94,96,2,452,1,43,78,240,62,412,59,476,12,48,20,7,85,0,
94,96,2,452,1,43,93,240,62,412,59,476,12,48,20,7,85,0,
94,96,2,452,1,43,32,240,62,412,59,476,12,48,20,7,85,1,
94,96,2,409,1,43,32,240,35,443,59,476,12,48,71,7,85,1,
94,96,-1,745,1,43,32,240,3,443,59,476,12,48,61,7,85,1,
94,96,-1,745,1,58,32,240,3,443,59,476,12,48,61,28,85,1,
94,96,-1,745,1,32,32,240,3,443,59,476,12,48,61,23,85,1,
94,96,-1,745,1,32,89,240,3,443,59,476,12,48,61,23,85,0,
94,96,-1,884,1,32,89,240,98,1227,59,476,12,48,84,23,85,0,
94,96,2,478,1,32,89,240,1,3182,59,476,12,48,49,23,85,0,
94,96,-1,246,1,32,89,240,1,2991,59,476,12,48,94,23,85,0,
94,96,-1,246,1,32,34,240,1,2991,59,476,12,48,94,23,85,1,
94,96,0,305,1,32,34,240,76,2123,59,476,12,48,37,23,85,1,
94,96,3,477,1,32,34,240,84,1108,59,476,12,48,67,23,85,1,
94,96,3,477,1,1,34,240,84,1108,59,476,12,48,67,21,85,1,
94,96,3,477,1,62,34,240,84,1108,59,476,12,48,67,3,85,1,
94,96,3,477,1,15,34,240,84,1108,59,476,12,48,67,25,85,1,
94,96,2,21,1,15,34,240,10,1270,59,476,12,48,99,25,85,1,
94,96,2,21,1,65,34,240,10,1270,59,476,12,48,99,42,85,1,
94,96,2,21,1,65,11,240,10,1270,59,476,12,48,99,42,85,1,
94,96,2,21,1,65,73,240,10,1270,59,476,12,48,99,42,85,0,
