load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,2,377,0,83,0,0,66,2616,0,0,0,0,52,27,0,0,
0,0,2,377,0,54,0,0,66,2616,0,0,0,0,52,12,0,0,
0,0,2,377,0,54,51,0,66,2616,0,0,0,0,52,12,0,0,
0,0,2,740,0,54,51,0,24,1725,0,0,0,0,7,12,0,0,
92,0,2,740,0,54,51,119,24,1725,25,202,8,25,7,12,90,0,
92,0,2,740,0,54,61,119,24,1725,25,202,8,25,7,12,90,1,
92,0,0,347,0,54,61,119,38,2282,25,202,8,25,92,12,90,1,
92,0,0,347,0,20,61,119,38,2282,25,202,8,25,92,18,90,1,
92,0,0,347,0,30,61,119,38,2282,25,202,8,25,92,3,90,1,
92,0,0,347,0,71,61,119,38,2282,25,202,8,25,92,19,90,1,
92,0,2,452,0,71,61,119,57,48,25,202,8,25,18,19,90,1,
23,30,2,452,1,71,61,98,57,48,14,809,22,1,18,19,44,1,
23,30,2,452,1,71,25,98,57,48,14,809,22,1,18,19,44,1,
23,30,2,452,1,71,18,98,57,48,14,809,22,1,18,19,44,1,
23,30,2,452,1,71,99,98,57,48,14,809,22,1,18,19,44,0,
23,30,-1,115,1,71,99,98,100,1090,14,809,22,1,58,19,44,0,
23,30,-1,115,1,18,99,98,100,1090,14,809,22,1,58,47,44,0,
23,30,-1,115,1,84,99,98,100,1090,14,809,22,1,58,0,44,0,
23,30,-1,115,1,84,99,98,100,1090,14,809,22,1,58,0,44,0,
23,30,-1,232,1,84,99,98,95,725,14,809,22,1,90,0,44,0,
22,74,-1,232,1,84,99,112,95,725,3,426,9,54,90,0,38,0,
71,4,-1,232,1,84,99,226,95,725,38,523,13,34,90,0,44,0,
71,4,0,934,1,84,99,226,31,636,38,523,13,34,23,0,44,0,
57,36,0,934,1,84,99,141,31,636,9,320,15,66,23,0,37,0,
57,36,0,934,1,94,99,141,31,636,9,320,15,66,23,19,37,0,
57,36,0,934,1,94,49,141,31,636,9,320,15,66,23,19,37,1,
57,36,0,934,1,57,49,141,31,636,9,320,15,66,23,14,37,1,
57,36,0,934,1,74,49,141,31,636,9,320,15,66,23,48,37,1,
57,36,0,934,1,0,49,141,31,636,9,320,15,66,23,32,37,1,
57,36,0,637,1,0,49,141,47,26,9,320,15,66,21,32,37,1,
57,36,0,637,1,18,49,141,47,26,9,320,15,66,21,38,37,1,
49,46,0,637,0,18,49,205,47,26,90,407,6,13,21,38,0,1,
49,46,0,637,0,72,49,205,47,26,90,407,6,13,21,42,0,1,
49,46,2,267,0,72,49,205,85,2488,90,407,6,13,86,42,0,1,
49,46,2,267,0,72,71,205,85,2488,90,407,6,13,86,42,0,1,
49,46,2,267,0,72,48,205,85,2488,90,407,6,13,86,42,0,1,
49,46,2,267,0,72,23,205,85,2488,90,407,6,13,86,42,0,1,
28,45,2,267,0,72,23,212,85,2488,36,741,23,83,86,42,98,1,
28,45,2,267,0,52,23,212,85,2488,36,741,23,83,86,19,98,1,
26,99,2,267,0,52,23,174,85,2488,83,696,9,47,86,19,43,1,
26,99,1,591,0,52,23,174,75,3160,83,696,9,47,66,19,43,1,
26,99,1,591,0,3,23,174,75,3160,83,696,9,47,66,30,43,1,
