load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,95,0,0,0,0,0,0,0,0,71,0,0,16,0,0,0,1,
0,0,0,256,0,95,71,0,45,1569,0,0,0,0,25,16,0,1,
0,0,2,987,0,95,71,0,33,446,0,0,0,0,45,16,0,1,
0,0,0,97,0,95,71,0,36,2118,0,0,0,0,37,16,0,1,
0,0,0,97,0,90,71,0,36,2118,0,0,0,0,37,3,0,1,
0,0,1,648,0,90,71,0,44,2885,0,0,0,0,40,3,0,1,
0,0,0,91,0,90,71,0,14,910,0,0,0,0,65,3,0,1,
0,0,0,91,0,39,71,0,14,910,0,0,0,0,65,2,0,1,
0,0,0,91,0,39,69,0,14,910,0,0,0,0,65,2,0,1,
0,0,0,91,0,26,69,0,14,910,0,0,0,0,65,23,0,1,
0,0,1,966,0,26,69,0,16,414,0,0,0,0,16,23,0,1,
0,0,1,966,0,30,69,0,16,414,0,0,0,0,16,32,0,1,
0,0,1,966,0,30,60,0,16,414,0,0,0,0,16,32,0,1,
0,0,1,966,0,55,60,0,16,414,0,0,0,0,16,29,0,1,
0,0,1,966,0,55,71,0,16,414,0,0,0,0,16,29,0,1,
0,0,1,966,0,4,71,0,16,414,0,0,0,0,16,44,0,1,
0,0,1,966,0,100,71,0,16,414,0,0,0,0,16,33,0,1,
0,0,-1,375,0,100,71,0,59,1786,0,0,0,0,49,33,0,1,
0,0,-1,375,0,52,71,0,59,1786,0,0,0,0,49,28,0,1,
77,89,-1,375,1,52,71,23,59,1786,42,819,0,62,49,28,70,1,
77,89,-1,375,1,45,71,23,59,1786,42,819,0,62,49,34,70,1,
77,89,1,673,1,45,71,23,100,953,42,819,0,62,30,34,70,1,
77,89,1,673,1,45,69,23,100,953,42,819,0,62,30,34,70,0,
77,89,1,718,1,45,69,23,8,1496,42,819,0,62,5,34,70,0,
77,89,1,938,1,45,69,23,99,2640,42,819,0,62,93,34,70,0,
77,89,1,938,1,45,94,23,99,2640,42,819,0,62,93,34,70,0,
77,89,1,938,1,28,94,23,99,2640,42,819,0,62,93,30,70,0,
77,89,1,938,1,91,94,23,99,2640,42,819,0,62,93,23,70,0,
77,89,3,784,1,91,94,23,17,2423,42,819,0,62,24,23,70,0,
77,89,0,628,1,91,94,23,79,2255,42,819,0,62,80,23,70,0,
77,89,0,628,1,91,46,23,79,2255,42,819,0,62,80,23,70,0,
93,63,0,628,0,91,46,141,79,2255,54,14,6,48,80,23,16,0,
93,63,0,628,0,91,97,141,79,2255,54,14,6,48,80,23,16,1,
78,77,0,628,1,91,97,4,79,2255,68,6,13,18,80,23,37,1,
78,77,3,722,1,91,97,4,56,1666,68,6,13,18,69,23,37,1,
89,47,3,722,0,91,97,230,56,1666,92,749,9,62,69,23,9,1,
89,47,3,722,0,40,97,230,56,1666,92,749,9,62,69,45,9,1,
15,80,3,722,0,40,97,85,56,1666,27,649,10,2,69,45,16,1,
58,0,3,722,1,40,97,95,56,1666,77,177,5,36,69,45,100,1,
13,92,3,722,1,40,97,226,56,1666,39,871,24,82,69,45,43,1,
13,92,2,596,1,40,97,226,19,1254,39,871,24,82,41,45,43,1,
13,92,2,596,1,53,97,226,19,1254,39,871,24,82,41,44,43,1,
13,92,2,596,1,53,74,226,19,1254,39,871,24,82,41,44,43,1,
13,92,2,596,1,14,74,226,19,1254,39,871,24,82,41,11,43,1,
19,50,2,596,0,14,74,198,19,1254,37,155,9,2,41,11,6,1,
19,50,2,596,0,82,74,198,19,1254,37,155,9,2,41,1,6,1,
31,12,2,596,0,82,74,152,19,1254,31,611,13,2,41,1,66,1,
31,12,2,596,0,13,74,152,19,1254,31,611,13,2,41,39,66,1,
31,12,2,596,0,13,83,152,19,1254,31,611,13,2,41,39,66,0,
52,36,2,596,1,13,83,86,19,1254,95,329,1,53,41,39,98,0,
52,36,2,596,1,13,6,86,19,1254,95,329,1,53,41,39,98,1,
52,36,3,267,1,13,6,86,16,1303,95,329,1,53,98,39,98,1,
52,36,3,267,1,69,6,86,16,1303,95,329,1,53,98,45,98,1,
52,36,3,267,1,57,6,86,16,1303,95,329,1,53,98,4,98,1,
52,36,3,267,1,57,94,86,16,1303,95,329,1,53,98,4,98,1,
52,36,0,398,1,57,94,86,90,1746,95,329,1,53,56,4,98,1,
52,36,0,659,1,57,94,86,22,2391,95,329,1,53,64,4,98,1,
52,36,3,519,1,57,94,86,8,2679,95,329,1,53,32,4,98,1,
52,36,3,573,1,57,94,86,62,1068,95,329,1,53,61,4,98,1,
52,36,3,573,1,57,45,86,62,1068,95,329,1,53,61,4,98,1,
52,36,3,573,1,57,76,86,62,1068,95,329,1,53,61,4,98,0,
52,36,3,573,1,57,24,86,62,1068,95,329,1,53,61,4,98,1,
52,36,3,573,1,57,93,86,62,1068,95,329,1,53,61,4,98,0,
52,36,3,573,1,45,93,86,62,1068,95,329,1,53,61,37,98,0,
52,36,-1,700,1,45,93,86,12,3151,95,329,1,53,40,37,98,0,
52,36,-1,700,1,45,79,86,12,3151,95,329,1,53,40,37,98,0,
52,36,-1,700,1,91,79,86,12,3151,95,329,1,53,40,46,98,0,
52,36,1,139,1,91,79,86,49,2156,95,329,1,53,7,46,98,0,
52,36,1,139,1,43,79,86,49,2156,95,329,1,53,7,48,98,0,
52,36,1,139,1,43,69,86,49,2156,95,329,1,53,7,48,98,0,
52,36,1,139,1,37,69,86,49,2156,95,329,1,53,7,39,98,0,
52,36,1,139,1,37,94,86,49,2156,95,329,1,53,7,39,98,0,
29,15,1,139,1,37,94,94,49,2156,97,967,24,57,7,39,3,0,
29,15,1,139,1,37,22,94,49,2156,97,967,24,57,7,39,3,0,
29,15,1,139,1,37,61,94,49,2156,97,967,24,57,7,39,3,1,
29,15,1,472,1,37,61,94,10,3058,97,967,24,57,40,39,3,1,
29,15,1,472,1,37,88,94,10,3058,97,967,24,57,40,39,3,0,
29,15,3,927,1,37,88,94,89,1963,97,967,24,57,96,39,3,0,
3,8,3,927,0,37,88,237,89,1963,43,760,4,11,96,39,31,0,
3,8,3,927,0,95,88,237,89,1963,43,760,4,11,96,47,31,0,
14,51,3,927,1,95,88,198,89,1963,71,379,22,49,96,47,36,0,
92,68,3,927,1,95,88,64,89,1963,24,188,21,66,96,47,83,0,
92,68,3,165,1,95,88,64,37,2523,24,188,21,66,54,47,83,0,
89,24,3,165,0,95,88,109,37,2523,92,62,14,92,54,47,56,0,
89,24,0,943,0,95,88,109,22,2873,92,62,14,92,33,47,56,0,
65,72,0,943,0,95,88,213,22,2873,43,26,3,97,33,47,53,0,
38,25,0,943,1,95,88,174,22,2873,97,539,5,99,33,47,91,0,
38,25,0,943,1,95,94,174,22,2873,97,539,5,99,33,47,91,0,
38,25,0,943,1,95,81,174,22,2873,97,539,5,99,33,47,91,0,
38,25,0,943,1,47,81,174,22,2873,97,539,5,99,33,13,91,0,
