load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,-1,383,0,0,89,0,4,2140,0,0,0,0,99,0,0,1,
99,52,-1,383,1,0,89,204,4,2140,26,437,22,83,99,0,62,1,
80,24,-1,383,0,0,89,23,4,2140,5,638,19,59,99,0,15,1,
9,84,-1,383,0,0,89,51,4,2140,34,175,7,63,99,0,28,1,
9,84,-1,383,0,0,75,51,4,2140,34,175,7,63,99,0,28,0,
43,16,-1,383,0,0,75,152,4,2140,62,179,14,5,99,0,80,0,
5,19,-1,383,1,0,75,151,4,2140,66,149,2,43,99,0,34,0,
5,19,-1,383,1,2,75,151,4,2140,66,149,2,43,99,31,34,0,
5,19,3,18,1,2,75,151,79,3411,66,149,2,43,56,31,34,0,
9,1,3,18,0,2,75,8,79,3411,94,732,11,13,56,31,98,0,
9,1,3,18,0,2,34,8,79,3411,94,732,11,13,56,31,98,0,
9,1,3,18,0,47,34,8,79,3411,94,732,11,13,56,38,98,0,
9,1,3,18,0,51,34,8,79,3411,94,732,11,13,56,14,98,0,
9,1,1,303,0,51,34,8,15,817,94,732,11,13,93,14,98,0,
35,12,1,303,0,51,34,197,15,817,50,998,6,68,93,14,95,0,
35,12,1,946,0,51,34,197,86,856,50,998,6,68,29,14,95,0,
24,6,1,946,1,51,34,144,86,856,52,58,14,61,29,14,51,0,
24,6,1,946,1,51,68,144,86,856,52,58,14,61,29,14,51,0,
24,6,0,931,1,51,68,144,77,1823,52,58,14,61,93,14,51,0,
24,6,0,931,1,51,89,144,77,1823,52,58,14,61,93,14,51,1,
85,63,0,931,1,51,89,49,77,1823,18,915,4,37,93,14,17,1,
85,63,0,931,1,51,28,49,77,1823,18,915,4,37,93,14,17,1,
72,30,0,931,0,51,28,30,77,1823,36,117,13,31,93,14,99,1,
55,50,0,931,0,51,28,241,77,1823,82,351,9,3,93,14,66,1,
55,50,3,937,0,51,28,241,73,346,82,351,9,3,27,14,66,1,
55,50,3,937,0,33,28,241,73,346,82,351,9,3,27,17,66,1,
55,50,2,17,0,33,28,241,39,3399,82,351,9,3,93,17,66,1,
23,65,2,17,0,33,28,175,39,3399,38,905,19,86,93,17,55,1,
23,65,2,17,0,6,28,175,39,3399,38,905,19,86,93,15,55,1,
23,65,1,963,0,6,28,175,36,1019,38,905,19,86,47,15,55,1,
23,65,1,963,0,70,28,175,36,1019,38,905,19,86,47,49,55,1,
23,65,1,963,0,52,28,175,36,1019,38,905,19,86,47,33,55,1,
23,65,2,958,0,52,28,175,40,341,38,905,19,86,63,33,55,1,
36,26,2,958,1,52,28,248,40,341,49,500,7,100,63,33,12,1,
36,26,2,958,1,52,53,248,40,341,49,500,7,100,63,33,12,1,
55,7,2,958,0,52,53,129,40,341,63,429,1,64,63,33,20,1,
97,2,2,958,0,52,53,26,40,341,20,555,11,90,63,33,75,1,
57,29,2,958,1,52,53,31,40,341,35,535,24,36,63,33,32,1,
57,29,2,59,1,52,53,31,15,1936,35,535,24,36,100,33,32,1,
57,29,2,801,1,52,53,31,71,1502,35,535,24,36,15,33,32,1,
47,71,2,801,0,52,53,132,71,1502,20,850,12,38,15,33,56,1,
47,71,2,801,0,69,53,132,71,1502,20,850,12,38,15,11,56,1,
47,71,2,801,0,69,68,132,71,1502,20,850,12,38,15,11,56,1,
47,71,2,801,0,27,68,132,71,1502,20,850,12,38,15,10,56,1,
78,39,2,801,1,27,68,204,71,1502,0,2,21,3,15,10,69,1,
78,39,3,593,1,27,68,204,43,113,0,2,21,3,32,10,69,1,
78,39,-1,168,1,27,68,204,83,2239,0,2,21,3,79,10,69,1,
51,87,-1,168,1,27,68,157,83,2239,42,755,14,81,79,10,10,1,
51,87,2,88,1,27,68,157,7,1433,42,755,14,81,77,10,10,1,
51,87,-1,554,1,27,68,157,44,2411,42,755,14,81,70,10,10,1,
51,87,-1,554,1,86,68,157,44,2411,42,755,14,81,70,31,10,1,
51,87,-1,554,1,74,68,157,44,2411,42,755,14,81,70,17,10,1,
51,87,-1,554,1,74,42,157,44,2411,42,755,14,81,70,17,10,1,
51,87,-1,554,1,74,76,157,44,2411,42,755,14,81,70,17,10,1,
51,87,-1,554,1,74,90,157,44,2411,42,755,14,81,70,17,10,1,
28,60,-1,554,0,74,90,133,44,2411,44,150,0,62,70,17,42,1,
28,60,2,987,0,74,90,133,50,3355,44,150,0,62,49,17,42,1,
32,78,2,987,1,74,90,92,50,3355,23,566,0,70,49,17,90,1,
94,100,2,987,1,74,90,159,50,3355,25,957,23,49,49,17,70,1,
94,100,2,987,1,96,90,159,50,3355,25,957,23,49,49,24,70,1,
69,91,2,987,1,96,90,74,50,3355,31,557,18,12,49,24,46,1,
69,91,2,90,1,96,90,74,7,401,31,557,18,12,51,24,46,1,
69,91,1,7,1,96,90,74,12,3478,31,557,18,12,97,24,46,1,
56,63,1,7,0,96,90,100,12,3478,88,907,9,86,97,24,88,1,
56,63,3,316,0,96,90,100,4,218,88,907,9,86,0,24,88,1,
83,56,3,316,0,96,90,107,4,218,41,392,16,47,0,24,1,1,
3,0,3,316,0,96,90,252,4,218,33,753,0,75,0,24,49,1,
36,100,3,316,0,96,90,23,4,218,80,228,21,99,0,24,30,1,
0,24,3,316,0,96,90,133,4,218,73,941,10,31,0,24,37,1,
16,19,3,316,1,96,90,102,4,218,32,254,13,74,0,24,38,1,
16,19,3,316,1,96,37,102,4,218,32,254,13,74,0,24,38,0,
27,67,3,316,1,96,37,123,4,218,51,243,15,62,0,24,7,0,
27,67,3,275,1,96,37,123,97,1358,51,243,15,62,18,24,7,0,
30,37,3,275,0,96,37,2,97,1358,68,268,21,85,18,24,2,0,
30,37,1,500,0,96,37,2,67,2412,68,268,21,85,29,24,2,0,
30,37,1,500,0,74,37,2,67,2412,68,268,21,85,29,47,2,0,
30,37,1,500,0,91,37,2,67,2412,68,268,21,85,29,39,2,0,
30,37,1,500,0,91,6,2,67,2412,68,268,21,85,29,39,2,0,
30,37,1,500,0,91,40,2,67,2412,68,268,21,85,29,39,2,1,
30,37,1,500,0,91,100,2,67,2412,68,268,21,85,29,39,2,1,
30,37,-1,260,0,91,100,2,73,361,68,268,21,85,100,39,2,1,
