load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,97,0,0,0,0,0,0,0,0,54,0,0,45,0,0,0,0,
10,78,0,0,0,97,54,196,0,0,9,698,7,21,0,45,32,0,
10,78,0,0,0,97,20,196,0,0,9,698,7,21,0,45,32,1,
10,78,0,0,0,39,20,196,0,0,9,698,7,21,0,26,32,1,
98,12,0,0,0,39,20,181,0,0,53,554,2,97,0,26,39,1,
98,12,0,0,0,39,12,181,0,0,53,554,2,97,0,26,39,0,
98,12,0,0,0,39,95,181,0,0,53,554,2,97,0,26,39,1,
98,12,0,0,0,38,95,181,0,0,53,554,2,97,0,9,39,1,
98,12,0,0,0,38,6,181,0,0,53,554,2,97,0,9,39,0,
98,12,0,0,0,66,6,181,0,0,53,554,2,97,0,38,39,0,
98,12,0,0,0,66,68,181,0,0,53,554,2,97,0,38,39,0,
98,12,0,0,0,23,68,181,0,0,53,554,2,97,0,0,39,0,
98,12,0,929,0,23,68,181,79,659,53,554,2,97,24,0,39,0,
98,12,0,929,0,23,16,181,79,659,53,554,2,97,24,0,39,1,
98,12,0,929,0,23,71,181,79,659,53,554,2,97,24,0,39,0,
98,12,0,929,0,73,71,181,79,659,53,554,2,97,24,31,39,0,
70,69,0,929,1,73,71,128,79,659,14,587,19,55,24,31,57,0,
70,69,0,929,1,53,71,128,79,659,14,587,19,55,24,36,57,0,
70,69,0,929,1,95,71,128,79,659,14,587,19,55,24,10,57,0,
47,64,0,929,0,95,71,134,79,659,22,363,13,19,24,10,17,0,
47,64,2,393,0,95,71,134,30,1129,22,363,13,19,3,10,17,0,
47,64,-1,891,0,95,71,134,69,3122,22,363,13,19,85,10,17,0,
47,64,-1,891,0,92,71,134,69,3122,22,363,13,19,85,21,17,0,
47,64,-1,891,0,70,71,134,69,3122,22,363,13,19,85,19,17,0,
18,91,-1,891,0,70,71,121,69,3122,58,454,8,64,85,19,5,0,
18,91,3,647,0,70,71,121,13,3247,58,454,8,64,90,19,5,0,
61,12,3,647,1,70,71,59,13,3247,11,476,16,88,90,19,19,0,
61,12,3,647,1,70,54,59,13,3247,11,476,16,88,90,19,19,0,
61,12,1,759,1,70,54,59,62,3286,11,476,16,88,30,19,19,0,
61,12,-1,128,1,70,54,59,83,1898,11,476,16,88,82,19,19,0,
44,22,-1,128,1,70,54,116,83,1898,94,302,6,72,82,19,99,0,
73,6,-1,128,0,70,54,85,83,1898,15,126,5,24,82,19,88,0,
73,6,2,121,0,70,54,85,11,3258,15,126,5,24,14,19,88,0,
73,6,-1,302,0,70,54,85,96,278,15,126,5,24,51,19,88,0,
73,6,2,965,0,70,54,85,76,1850,15,126,5,24,1,19,88,0,
21,55,2,965,1,70,54,238,76,1850,3,332,22,82,1,19,68,0,
16,5,2,965,1,70,54,137,76,1850,72,658,7,16,1,19,81,0,
16,5,2,965,1,70,54,137,76,1850,72,658,7,16,1,26,81,0,
16,5,2,965,1,70,15,137,76,1850,72,658,7,16,1,26,81,1,
16,5,0,390,1,70,15,137,49,2127,72,658,7,16,27,26,81,1,
16,5,0,390,1,26,15,137,49,2127,72,658,7,16,27,4,81,1,
16,5,0,390,1,48,15,137,49,2127,72,658,7,16,27,37,81,1,
16,5,3,906,1,48,15,137,57,839,72,658,7,16,48,37,81,1,
90,77,3,906,1,48,15,234,57,839,25,263,5,9,48,37,39,1,
90,77,1,962,1,48,15,234,29,1233,25,263,5,9,3,37,39,1,
86,70,1,962,0,48,15,126,29,1233,28,172,4,52,3,37,42,1,
49,98,1,962,1,48,15,149,29,1233,52,559,16,67,3,37,63,1,
91,95,1,962,1,48,15,122,29,1233,9,430,12,84,3,37,49,1,
68,69,1,962,1,48,15,254,29,1233,41,619,18,48,3,37,28,1,
4,50,1,962,1,48,15,41,29,1233,86,183,12,72,3,37,60,1,
4,50,1,924,1,48,15,41,36,947,86,183,12,72,58,37,60,1,
0,89,1,924,1,48,15,249,36,947,36,17,4,45,58,37,24,1,
81,77,1,924,1,48,15,199,36,947,14,406,0,56,58,37,54,1,
81,77,1,924,1,48,68,199,36,947,14,406,0,56,58,37,54,0,
81,77,1,924,1,48,37,199,36,947,14,406,0,56,58,37,54,0,
81,77,1,924,1,48,75,199,36,947,14,406,0,56,58,37,54,1,
81,77,1,822,1,48,75,199,55,3167,14,406,0,56,62,37,54,1,
34,49,1,822,0,48,75,35,55,3167,46,321,0,97,62,37,94,1,
24,37,1,822,0,48,75,198,55,3167,63,455,8,18,62,37,58,1,
24,37,1,822,0,48,50,198,55,3167,63,455,8,18,62,37,58,1,
80,21,1,822,0,48,50,112,55,3167,60,660,4,65,62,37,81,1,
96,47,1,822,0,48,50,78,55,3167,1,635,21,67,62,37,80,1,
96,47,1,822,0,48,61,78,55,3167,1,635,21,67,62,37,80,1,
96,47,-1,499,0,48,61,78,69,88,1,635,21,67,16,37,80,1,
96,47,-1,499,0,48,42,78,69,88,1,635,21,67,16,37,80,0,
56,84,-1,499,0,48,42,44,69,88,58,787,19,31,16,37,8,0,
56,84,-1,499,0,43,42,44,69,88,58,787,19,31,16,5,8,0,
56,84,-1,499,0,88,42,44,69,88,58,787,19,31,16,16,8,0,
56,84,-1,499,0,88,7,44,69,88,58,787,19,31,16,16,8,1,
56,84,-1,499,0,65,7,44,69,88,58,787,19,31,16,43,8,1,
56,84,-1,778,0,65,7,44,32,2245,58,787,19,31,57,43,8,1,
56,84,-1,778,0,75,7,44,32,2245,58,787,19,31,57,34,8,1,
56,84,1,271,0,75,7,44,53,1280,58,787,19,31,44,34,8,1,
43,9,1,271,1,75,7,127,53,1280,0,590,17,95,44,34,20,1,
43,9,1,271,1,86,7,127,53,1280,0,590,17,95,44,27,20,1,
43,9,1,271,1,54,7,127,53,1280,0,590,17,95,44,15,20,1,
86,5,1,271,1,54,7,45,53,1280,31,267,1,92,44,15,100,1,
86,5,3,892,1,54,7,45,50,639,31,267,1,92,57,15,100,1,
83,100,3,892,0,54,7,210,50,639,52,421,0,80,57,15,81,1,
83,100,3,892,0,54,67,210,50,639,52,421,0,80,57,15,81,1,
83,100,0,899,0,54,67,210,60,2349,52,421,0,80,65,15,81,1,
83,100,0,899,0,50,67,210,60,2349,52,421,0,80,65,27,81,1,
83,100,0,899,0,50,38,210,60,2349,52,421,0,80,65,27,81,0,
83,100,0,899,0,55,38,210,60,2349,52,421,0,80,65,43,81,0,
83,100,0,899,0,41,38,210,60,2349,52,421,0,80,65,33,81,0,
83,100,1,910,0,41,38,210,37,2412,52,421,0,80,15,33,81,0,
83,100,1,910,0,41,6,210,37,2412,52,421,0,80,15,33,81,0,
83,100,1,910,0,22,6,210,37,2412,52,421,0,80,15,9,81,0,
42,93,1,910,1,22,6,79,37,2412,94,214,9,87,15,9,74,0,
42,93,1,910,1,50,6,79,37,2412,94,214,9,87,15,21,74,0,
42,93,1,910,1,50,35,79,37,2412,94,214,9,87,15,21,74,1,
16,37,1,910,1,50,35,1,37,2412,52,84,24,45,15,21,55,1,
16,37,1,910,1,60,35,1,37,2412,52,84,24,45,15,36,55,1,
16,37,3,449,1,60,35,1,80,1846,52,84,24,45,66,36,55,1,
16,37,3,449,1,60,98,1,80,1846,52,84,24,45,66,36,55,0,
16,37,1,936,1,60,98,1,88,1736,52,84,24,45,17,36,55,0,
35,11,1,936,1,60,98,187,88,1736,18,255,23,32,17,36,92,0,
35,11,1,936,1,60,43,187,88,1736,18,255,23,32,17,36,92,1,
35,11,1,936,1,60,57,187,88,1736,18,255,23,32,17,36,92,1,
35,11,1,936,1,31,57,187,88,1736,18,255,23,32,17,46,92,1,
35,11,1,936,1,55,57,187,88,1736,18,255,23,32,17,7,92,1,
35,11,1,936,1,55,57,187,88,1736,18,255,23,32,17,7,92,0,
35,11,1,124,1,55,57,187,49,3492,18,255,23,32,81,7,92,0,
35,11,1,124,1,57,57,187,49,3492,18,255,23,32,81,42,92,0,
35,11,0,384,1,57,57,187,67,1666,18,255,23,32,39,42,92,0,
35,11,0,676,1,57,57,187,100,3503,18,255,23,32,58,42,92,0,
22,74,0,676,0,57,57,110,100,3503,41,203,6,47,58,42,14,0,
1,68,0,676,1,57,57,148,100,3503,38,651,17,97,58,42,23,0,
1,68,0,676,1,47,57,148,100,3503,38,651,17,97,58,13,23,0,
1,68,0,676,1,47,97,148,100,3503,38,651,17,97,58,13,23,0,
1,68,0,676,1,30,97,148,100,3503,38,651,17,97,58,35,23,0,
1,68,-1,811,1,30,97,148,80,2745,38,651,17,97,60,35,23,0,
1,68,-1,811,1,30,85,148,80,2745,38,651,17,97,60,35,23,0,
1,68,-1,811,1,33,85,148,80,2745,38,651,17,97,60,11,23,0,
7,77,-1,811,1,33,85,105,80,2745,3,771,4,27,60,11,35,0,
7,77,-1,811,1,33,37,105,80,2745,3,771,4,27,60,11,35,1,
89,69,-1,811,1,33,37,40,80,2745,30,24,24,66,60,11,9,1,
75,20,-1,811,0,33,37,25,80,2745,14,585,4,36,60,11,60,1,
