load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
79,94,0,0,1,0,47,134,0,0,4,610,9,53,0,0,12,1,
40,78,0,0,0,0,47,199,0,0,35,359,3,49,0,0,22,1,
40,78,0,0,0,0,65,199,0,0,35,359,3,49,0,0,22,0,
40,78,3,502,0,0,65,199,12,3543,35,359,3,49,1,0,22,0,
40,78,3,502,0,0,6,199,12,3543,35,359,3,49,1,0,22,0,
12,94,3,502,1,0,6,122,12,3543,30,367,7,88,1,0,34,0,
63,15,3,502,1,0,6,50,12,3543,23,614,1,28,1,0,73,0,
63,15,3,502,1,44,6,50,12,3543,23,614,1,28,1,49,73,0,
26,3,3,502,1,44,6,36,12,3543,73,157,3,42,1,49,95,0,
26,3,0,317,1,44,6,36,24,359,73,157,3,42,87,49,95,0,
26,3,0,317,1,83,6,36,24,359,73,157,3,42,87,16,95,0,
26,3,-1,91,1,83,6,36,5,3405,73,157,3,42,83,16,95,0,
26,3,-1,91,1,3,6,36,5,3405,73,157,3,42,83,30,95,0,
26,3,-1,357,1,3,6,36,8,521,73,157,3,42,26,30,95,0,
26,3,0,563,1,3,6,36,57,2595,73,157,3,42,100,30,95,0,
26,3,0,563,1,71,6,36,57,2595,73,157,3,42,100,43,95,0,
69,69,0,563,0,71,6,42,57,2595,44,507,22,51,100,43,63,0,
79,23,0,563,0,71,6,16,57,2595,4,901,10,3,100,43,14,0,
82,15,0,563,0,71,6,185,57,2595,71,75,18,80,100,43,86,0,
82,15,0,563,0,71,26,185,57,2595,71,75,18,80,100,43,86,1,
82,15,3,585,0,71,26,185,25,445,71,75,18,80,13,43,86,1,
82,15,3,585,0,59,26,185,25,445,71,75,18,80,13,19,86,1,
82,15,3,585,0,41,26,185,25,445,71,75,18,80,13,7,86,1,
48,27,3,585,0,41,26,34,25,445,97,771,15,43,13,7,44,1,
48,27,3,585,0,41,34,34,25,445,97,771,15,43,13,7,44,1,
48,27,3,585,0,41,71,34,25,445,97,771,15,43,13,7,44,1,
48,27,3,585,0,41,71,34,25,445,97,771,15,43,13,15,44,1,
48,27,3,585,0,41,81,34,25,445,97,771,15,43,13,15,44,1,
34,8,3,585,0,41,81,141,25,445,41,946,2,33,13,15,44,1,
34,8,3,585,0,43,81,141,25,445,41,946,2,33,13,7,44,1,
34,8,3,585,0,83,81,141,25,445,41,946,2,33,13,33,44,1,
94,55,3,585,1,83,81,183,25,445,45,900,2,84,13,33,39,1,
94,55,3,585,1,95,81,183,25,445,45,900,2,84,13,40,39,1,
94,55,3,585,1,80,81,183,25,445,45,900,2,84,13,33,39,1,
94,55,2,748,1,80,81,183,40,125,45,900,2,84,66,33,39,1,
94,55,2,748,1,18,81,183,40,125,45,900,2,84,66,3,39,1,
94,55,2,748,1,13,81,183,40,125,45,900,2,84,66,49,39,1,
94,55,2,748,1,13,61,183,40,125,45,900,2,84,66,49,39,0,
94,55,-1,55,1,13,61,183,74,2778,45,900,2,84,83,49,39,0,
94,55,-1,55,1,97,61,183,74,2778,45,900,2,84,83,29,39,0,
94,55,-1,55,1,97,67,183,74,2778,45,900,2,84,83,29,39,0,
54,58,-1,55,1,97,67,41,74,2778,0,781,7,98,83,29,0,0,
54,58,-1,55,1,97,5,41,74,2778,0,781,7,98,83,29,0,1,
54,58,2,795,1,97,5,41,42,3368,0,781,7,98,39,29,0,1,
54,58,2,795,1,49,5,41,42,3368,0,781,7,98,39,18,0,1,
54,58,2,795,1,83,5,41,42,3368,0,781,7,98,39,41,0,1,
66,6,2,795,1,83,5,173,42,3368,46,793,17,26,39,41,80,1,
63,82,2,795,0,83,5,70,42,3368,38,894,9,60,39,41,4,1,
63,82,2,795,0,12,5,70,42,3368,38,894,9,60,39,6,4,1,
63,82,3,568,0,12,5,70,31,2875,38,894,9,60,32,6,4,1,
63,82,3,568,0,77,5,70,31,2875,38,894,9,60,32,39,4,1,
63,82,3,568,0,68,5,70,31,2875,38,894,9,60,32,39,4,1,
63,82,2,364,0,68,5,70,35,2942,38,894,9,60,78,39,4,1,
86,96,2,364,0,68,5,244,35,2942,67,345,1,48,78,39,59,1,
86,96,2,364,0,11,5,244,35,2942,67,345,1,48,78,28,59,1,
86,96,2,364,0,11,2,244,35,2942,67,345,1,48,78,28,59,1,
86,96,2,364,0,11,89,244,35,2942,67,345,1,48,78,28,59,0,
86,96,2,364,0,11,97,244,35,2942,67,345,1,48,78,28,59,1,
86,96,3,410,0,11,97,244,88,1618,67,345,1,48,88,28,59,1,
29,59,3,410,1,11,97,79,88,1618,21,154,11,85,88,28,86,1,
29,59,3,410,1,11,97,79,88,1618,21,154,11,85,88,28,86,0,
29,59,3,410,1,33,97,79,88,1618,21,154,11,85,88,8,86,0,
29,59,3,410,1,44,97,79,88,1618,21,154,11,85,88,22,86,0,
29,59,3,410,1,86,97,79,88,1618,21,154,11,85,88,6,86,0,
29,59,3,410,1,86,45,79,88,1618,21,154,11,85,88,6,86,1,
29,59,3,410,1,86,34,79,88,1618,21,154,11,85,88,6,86,1,
65,35,3,410,0,86,34,225,88,1618,79,270,22,8,88,6,56,1,
65,35,3,410,0,71,34,225,88,1618,79,270,22,8,88,28,56,1,
65,35,3,410,0,97,34,225,88,1618,79,270,22,8,88,24,56,1,
65,35,-1,582,0,97,34,225,59,181,79,270,22,8,45,24,56,1,
65,35,1,66,0,97,34,225,18,1553,79,270,22,8,32,24,56,1,
65,35,1,66,0,86,34,225,18,1553,79,270,22,8,32,17,56,1,
65,35,3,229,0,86,34,225,91,3561,79,270,22,8,91,17,56,1,
