load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
68,81,0,0,1,51,0,203,0,0,74,776,14,22,0,4,77,0,
68,81,0,0,1,51,34,203,0,0,74,776,14,22,0,4,77,1,
68,81,3,913,1,51,34,203,88,435,74,776,14,22,21,4,77,1,
68,81,2,179,1,51,34,203,30,846,74,776,14,22,28,4,77,1,
68,81,2,682,1,51,34,203,86,3485,74,776,14,22,43,4,77,1,
68,81,2,682,1,98,34,203,86,3485,74,776,14,22,43,19,77,1,
68,81,2,682,1,92,34,203,86,3485,74,776,14,22,43,25,77,1,
68,81,2,46,1,92,34,203,99,3385,74,776,14,22,69,25,77,1,
68,81,3,667,1,92,34,203,94,799,74,776,14,22,98,25,77,1,
68,81,-1,438,1,92,34,203,97,1739,74,776,14,22,8,25,77,1,
68,81,0,470,1,92,34,203,6,281,74,776,14,22,29,25,77,1,
68,81,0,470,1,11,34,203,6,281,74,776,14,22,29,31,77,1,
68,81,0,470,1,10,34,203,6,281,74,776,14,22,29,9,77,1,
68,81,-1,898,1,10,34,203,4,2823,74,776,14,22,9,9,77,1,
68,81,-1,941,1,10,34,203,51,1140,74,776,14,22,60,9,77,1,
68,81,1,118,1,10,34,203,34,528,74,776,14,22,95,9,77,1,
23,64,1,118,1,10,34,183,34,528,4,289,14,9,95,9,27,1,
23,64,1,118,1,10,33,183,34,528,4,289,14,9,95,9,27,0,
58,95,1,118,1,10,33,128,34,528,46,12,18,75,95,9,100,0,
58,95,1,154,1,10,33,128,58,3358,46,12,18,75,38,9,100,0,
58,95,-1,326,1,10,33,128,57,3591,46,12,18,75,35,9,100,0,
58,95,-1,326,1,10,30,128,57,3591,46,12,18,75,35,9,100,0,
58,95,-1,326,1,10,87,128,57,3591,46,12,18,75,35,9,100,0,
20,47,-1,326,1,10,87,165,57,3591,68,372,24,39,35,9,61,0,
77,100,-1,326,0,10,87,161,57,3591,94,61,14,82,35,9,16,0,
31,22,-1,326,0,10,87,33,57,3591,31,997,0,66,35,9,33,0,
31,22,-1,326,0,10,13,33,57,3591,31,997,0,66,35,9,33,1,
31,22,-1,326,0,10,75,33,57,3591,31,997,0,66,35,9,33,1,
31,22,-1,326,0,23,75,33,57,3591,31,997,0,66,35,14,33,1,
31,22,-1,326,0,91,75,33,57,3591,31,997,0,66,35,24,33,1,
31,22,-1,326,0,91,17,33,57,3591,31,997,0,66,35,24,33,0,
31,22,-1,326,0,56,17,33,57,3591,31,997,0,66,35,25,33,0,
31,22,3,999,0,56,17,33,25,3347,31,997,0,66,69,25,33,0,
31,22,3,999,0,76,17,33,25,3347,31,997,0,66,69,20,33,0,
31,22,3,999,0,76,88,33,25,3347,31,997,0,66,69,20,33,0,
31,22,3,999,0,77,88,33,25,3347,31,997,0,66,69,16,33,0,
31,22,3,999,0,77,12,33,25,3347,31,997,0,66,69,16,33,0,
31,22,3,999,0,72,12,33,25,3347,31,997,0,66,69,3,33,0,
31,22,3,31,0,72,12,33,10,2075,31,997,0,66,62,3,33,0,
31,22,3,31,0,66,12,33,10,2075,31,997,0,66,62,48,33,0,
31,22,3,31,0,66,9,33,10,2075,31,997,0,66,62,48,33,0,
31,22,1,850,0,66,9,33,97,767,31,997,0,66,78,48,33,0,
31,22,1,850,0,66,59,33,97,767,31,997,0,66,78,48,33,1,
31,22,2,707,0,66,59,33,10,2080,31,997,0,66,89,48,33,1,
31,22,2,707,0,66,2,33,10,2080,31,997,0,66,89,48,33,0,
31,22,2,90,0,66,2,33,1,1493,31,997,0,66,47,48,33,0,
70,21,2,90,0,66,2,182,1,1493,98,501,10,87,47,48,77,0,
70,21,2,90,0,66,46,182,1,1493,98,501,10,87,47,48,77,1,
70,21,2,90,0,35,46,182,1,1493,98,501,10,87,47,12,77,1,
70,21,3,890,0,35,46,182,97,3013,98,501,10,87,90,12,77,1,
81,80,3,890,1,35,46,186,97,3013,86,299,15,84,90,12,100,1,
4,61,3,890,1,35,46,79,97,3013,66,881,17,35,90,12,30,1,
4,61,3,890,1,35,68,79,97,3013,66,881,17,35,90,12,30,1,
58,12,3,890,1,35,68,180,97,3013,27,387,5,61,90,12,57,1,
91,28,3,890,0,35,68,245,97,3013,18,206,18,43,90,12,58,1,
91,28,-1,308,0,35,68,245,90,1658,18,206,18,43,0,12,58,1,
67,27,-1,308,0,35,68,110,90,1658,47,705,24,38,0,12,41,1,
1,72,-1,308,1,35,68,45,90,1658,66,437,8,37,0,12,88,1,
