load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,
0,0,3,680,0,0,83,0,47,2297,0,0,0,0,14,0,0,0,
0,0,3,680,0,0,96,0,47,2297,0,0,0,0,14,0,0,1,
0,0,-1,440,0,0,96,0,85,2280,0,0,0,0,30,0,0,1,
0,0,0,570,0,0,96,0,32,69,0,0,0,0,58,0,0,1,
41,9,0,570,1,0,96,168,32,69,26,86,7,97,58,0,99,1,
25,84,0,570,0,0,96,29,32,69,59,33,16,34,58,0,30,1,
25,84,0,570,0,32,96,29,32,69,59,33,16,34,58,37,30,1,
25,84,0,570,0,32,13,29,32,69,59,33,16,34,58,37,30,1,
25,84,0,570,0,2,13,29,32,69,59,33,16,34,58,38,30,1,
25,84,1,444,0,2,13,29,52,493,59,33,16,34,54,38,30,1,
25,84,1,444,0,2,1,29,52,493,59,33,16,34,54,38,30,0,
67,55,1,444,1,2,1,227,52,493,5,196,7,28,54,38,83,0,
33,4,1,444,0,2,1,197,52,493,54,12,4,48,54,38,68,0,
33,4,0,35,0,2,1,197,64,309,54,12,4,48,23,38,68,0,
33,4,0,35,0,2,83,197,64,309,54,12,4,48,23,38,68,1,
33,4,0,35,0,2,42,197,64,309,54,12,4,48,23,38,68,0,
33,4,0,35,0,51,42,197,64,309,54,12,4,48,23,5,68,0,
33,4,3,813,0,51,42,197,93,2472,54,12,4,48,80,5,68,0,
33,4,3,813,0,91,42,197,93,2472,54,12,4,48,80,27,68,0,
31,80,3,813,0,91,42,236,93,2472,38,313,4,20,80,27,13,0,
31,80,3,813,0,91,78,236,93,2472,38,313,4,20,80,27,13,0,
31,80,3,813,0,100,78,236,93,2472,38,313,4,20,80,27,13,0,
18,50,3,813,1,100,78,243,93,2472,62,124,21,77,80,27,5,0,
18,50,3,813,1,100,84,243,93,2472,62,124,21,77,80,27,5,0,
18,50,3,813,1,58,84,243,93,2472,62,124,21,77,80,24,5,0,
18,50,3,813,1,58,49,243,93,2472,62,124,21,77,80,24,5,1,
18,50,0,224,1,58,49,243,15,3279,62,124,21,77,71,24,5,1,
18,50,0,224,1,83,49,243,15,3279,62,124,21,77,71,26,5,1,
18,50,0,224,1,83,46,243,15,3279,62,124,21,77,71,26,5,0,
18,50,2,865,1,83,46,243,34,94,62,124,21,77,0,26,5,0,
18,50,3,855,1,83,46,243,35,2546,62,124,21,77,35,26,5,0,
18,50,3,855,1,26,46,243,35,2546,62,124,21,77,35,20,5,0,
18,50,3,855,1,95,46,243,35,2546,62,124,21,77,35,14,5,0,
18,50,3,855,1,95,23,243,35,2546,62,124,21,77,35,14,5,1,
18,50,3,855,1,91,23,243,35,2546,62,124,21,77,35,22,5,1,
18,50,3,855,1,85,23,243,35,2546,62,124,21,77,35,0,5,1,
18,50,2,1,1,85,23,243,77,2303,62,124,21,77,45,0,5,1,
100,64,2,1,0,85,23,201,77,2303,94,13,0,64,45,0,7,1,
100,64,2,1,0,39,23,201,77,2303,94,13,0,64,45,50,7,1,
100,64,0,831,0,39,23,201,53,398,94,13,0,64,91,50,7,1,
13,22,0,831,0,39,23,183,53,398,58,816,6,95,91,50,100,1,
13,22,1,82,0,39,23,183,98,807,58,816,6,95,33,50,100,1,
13,22,1,82,0,5,23,183,98,807,58,816,6,95,33,46,100,1,
13,22,2,885,0,5,23,183,85,1684,58,816,6,95,34,46,100,1,
13,22,2,885,0,9,23,183,85,1684,58,816,6,95,34,29,100,1,
13,22,3,892,0,9,23,183,31,849,58,816,6,95,2,29,100,1,
11,42,3,892,1,9,23,150,31,849,59,912,6,94,2,29,66,1,
69,29,3,892,0,9,23,142,31,849,93,735,24,63,2,29,20,1,
30,12,3,892,1,9,23,131,31,849,100,855,11,91,2,29,58,1,
