load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,43,0,0,0,0,0,0,0,0,25,0,0,8,0,0,0,1,
68,26,0,0,0,43,25,242,0,0,80,751,10,95,0,8,61,1,
19,91,0,0,1,43,25,156,0,0,47,845,3,13,0,8,39,1,
19,91,0,0,1,43,9,156,0,0,47,845,3,13,0,8,39,1,
19,91,0,0,1,49,9,156,0,0,47,845,3,13,0,30,39,1,
19,91,0,331,1,49,9,156,63,2439,47,845,3,13,33,30,39,1,
19,91,0,331,1,49,6,156,63,2439,47,845,3,13,33,30,39,0,
19,91,1,253,1,49,6,156,33,3467,47,845,3,13,23,30,39,0,
19,91,1,253,1,49,37,156,33,3467,47,845,3,13,23,30,39,0,
19,91,-1,923,1,49,37,156,61,3365,47,845,3,13,100,30,39,0,
19,91,-1,923,1,0,37,156,61,3365,47,845,3,13,100,29,39,0,
21,59,-1,923,0,0,37,146,61,3365,39,842,5,61,100,29,77,0,
56,51,-1,923,1,0,37,46,61,3365,27,1,9,0,100,29,17,0,
50,99,-1,923,1,0,37,155,61,3365,12,253,5,70,100,29,2,0,
69,27,-1,923,1,0,37,51,61,3365,70,990,13,12,100,29,69,0,
69,27,1,456,1,0,37,51,1,2275,70,990,13,12,54,29,69,0,
47,54,1,456,0,0,37,83,1,2275,45,394,9,26,54,29,63,0,
47,54,3,150,0,0,37,83,37,648,45,394,9,26,27,29,63,0,
47,54,0,558,0,0,37,83,84,227,45,394,9,26,62,29,63,0,
47,54,0,558,0,33,37,83,84,227,45,394,9,26,62,0,63,0,
47,54,-1,818,0,33,37,83,58,2840,45,394,9,26,46,0,63,0,
47,54,1,63,0,33,37,83,18,2665,45,394,9,26,0,0,63,0,
47,54,3,109,0,33,37,83,16,3462,45,394,9,26,83,0,63,0,
47,54,3,425,0,33,37,83,71,1307,45,394,9,26,32,0,63,0,
47,54,3,381,0,33,37,83,19,1386,45,394,9,26,67,0,63,0,
47,54,3,381,0,78,37,83,19,1386,45,394,9,26,67,7,63,0,
47,54,3,381,0,78,20,83,19,1386,45,394,9,26,67,7,63,1,
47,54,-1,503,0,78,20,83,74,620,45,394,9,26,29,7,63,1,
47,54,3,794,0,78,20,83,29,2687,45,394,9,26,4,7,63,1,
63,24,3,794,1,78,20,49,29,2687,19,422,9,78,4,7,8,1,
