load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
71,40,0,0,0,0,0,206,0,0,80,338,21,71,0,0,15,0,
71,40,0,0,0,6,0,206,0,0,80,338,21,71,0,8,15,0,
71,40,0,0,0,6,9,206,0,0,80,338,21,71,0,8,15,1,
71,40,0,0,0,34,9,206,0,0,80,338,21,71,0,50,15,1,
71,40,3,774,0,34,9,206,2,1716,80,338,21,71,95,50,15,1,
71,40,3,774,0,70,9,206,2,1716,80,338,21,71,95,34,15,1,
95,85,3,774,1,70,9,72,2,1716,77,984,22,99,95,34,12,1,
95,85,1,597,1,70,9,72,27,3136,77,984,22,99,74,34,12,1,
95,85,1,597,1,70,86,72,27,3136,77,984,22,99,74,34,12,1,
95,85,1,850,1,70,86,72,7,2398,77,984,22,99,72,34,12,1,
95,85,0,8,1,70,86,72,62,1407,77,984,22,99,11,34,12,1,
95,85,0,8,1,70,43,72,62,1407,77,984,22,99,11,34,12,0,
95,85,0,8,1,74,43,72,62,1407,77,984,22,99,11,46,12,0,
95,85,1,197,1,74,43,72,51,0,77,984,22,99,76,46,12,0,
95,85,-1,934,1,74,43,72,90,3546,77,984,22,99,9,46,12,0,
95,85,-1,934,1,31,43,72,90,3546,77,984,22,99,9,6,12,0,
40,51,-1,934,1,31,43,87,90,3546,26,871,15,81,9,6,100,0,
100,0,-1,934,0,31,43,6,90,3546,29,196,24,53,9,6,23,0,
100,0,-1,934,0,64,43,6,90,3546,29,196,24,53,9,25,23,0,
100,0,-1,934,0,18,43,6,90,3546,29,196,24,53,9,5,23,0,
100,0,-1,934,0,44,43,6,90,3546,29,196,24,53,9,36,23,0,
28,45,-1,934,1,44,43,57,90,3546,5,689,21,52,9,36,28,0,
28,45,3,245,1,44,43,57,9,1216,5,689,21,52,67,36,28,0,
28,45,3,245,1,44,65,57,9,1216,5,689,21,52,67,36,28,0,
28,45,3,245,1,44,97,57,9,1216,5,689,21,52,67,36,28,0,
57,54,3,245,0,44,97,229,9,1216,5,503,8,34,67,36,71,0,
57,54,-1,150,0,44,97,229,98,2347,5,503,8,34,14,36,71,0,
57,54,-1,150,0,44,99,229,98,2347,5,503,8,34,14,36,71,0,
57,54,-1,150,0,44,99,229,98,2347,5,503,8,34,14,36,71,1,
57,54,-1,150,0,88,99,229,98,2347,5,503,8,34,14,37,71,1,
47,41,-1,150,1,88,99,133,98,2347,37,365,18,97,14,37,1,1,
48,82,-1,150,0,88,99,35,98,2347,43,731,17,92,14,37,85,1,
48,82,-1,150,0,49,99,35,98,2347,43,731,17,92,14,44,85,1,
48,82,-1,150,0,49,67,35,98,2347,43,731,17,92,14,44,85,1,
17,74,-1,150,0,49,67,166,98,2347,6,583,17,57,14,44,59,1,
17,74,-1,150,0,49,97,166,98,2347,6,583,17,57,14,44,59,1,
17,74,-1,150,0,49,22,166,98,2347,6,583,17,57,14,44,59,0,
24,65,-1,150,0,49,22,156,98,2347,23,21,3,52,14,44,99,0,
24,65,2,217,0,49,22,156,23,1697,23,21,3,52,8,44,99,0,
24,65,2,217,0,81,22,156,23,1697,23,21,3,52,8,45,99,0,
24,65,2,217,0,89,22,156,23,1697,23,21,3,52,8,6,99,0,
24,65,2,855,0,89,22,156,0,2594,23,21,3,52,62,6,99,0,
24,65,2,345,0,89,22,156,4,2132,23,21,3,52,84,6,99,0,
81,37,2,345,0,89,22,148,4,2132,0,935,2,67,84,6,36,0,
81,37,2,342,0,89,22,148,61,2311,0,935,2,67,4,6,36,0,
81,37,2,342,0,89,78,148,61,2311,0,935,2,67,4,6,36,0,
81,37,2,342,0,37,78,148,61,2311,0,935,2,67,4,34,36,0,
81,37,0,317,0,37,78,148,92,2271,0,935,2,67,97,34,36,0,
81,37,0,317,0,37,6,148,92,2271,0,935,2,67,97,34,36,1,
81,37,0,317,0,49,6,148,92,2271,0,935,2,67,97,45,36,1,
81,37,0,299,0,49,6,148,70,2860,0,935,2,67,3,45,36,1,
81,37,0,299,0,29,6,148,70,2860,0,935,2,67,3,9,36,1,
81,37,0,299,0,29,6,148,70,2860,0,935,2,67,3,13,36,1,
81,37,0,299,0,29,98,148,70,2860,0,935,2,67,3,13,36,1,
81,37,2,62,0,29,98,148,55,37,0,935,2,67,43,13,36,1,
81,37,2,62,0,43,98,148,55,37,0,935,2,67,43,35,36,1,
81,37,2,62,0,43,79,148,55,37,0,935,2,67,43,35,36,1,
81,37,0,931,0,43,79,148,97,1286,0,935,2,67,84,35,36,1,
81,37,0,931,0,43,40,148,97,1286,0,935,2,67,84,35,36,0,
81,37,0,931,0,43,15,148,97,1286,0,935,2,67,84,35,36,0,
53,97,0,931,1,43,15,139,97,1286,43,921,22,33,84,35,22,0,
