load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
55,22,3,757,0,0,0,102,41,619,51,420,11,42,75,0,5,0,
55,22,3,379,0,0,0,102,8,3583,51,420,11,42,97,0,5,0,
55,22,3,379,0,0,0,102,8,3583,51,420,11,42,97,0,5,0,
55,22,0,736,0,0,0,102,62,1220,51,420,11,42,59,0,5,0,
55,22,0,736,0,0,22,102,62,1220,51,420,11,42,59,0,5,0,
55,22,0,736,0,86,22,102,62,1220,51,420,11,42,59,1,5,0,
55,22,0,736,0,65,22,102,62,1220,51,420,11,42,59,20,5,0,
94,53,0,736,0,65,22,236,62,1220,46,480,8,64,59,20,83,0,
94,53,0,736,0,65,56,236,62,1220,46,480,8,64,59,20,83,1,
94,53,0,736,0,1,56,236,62,1220,46,480,8,64,59,44,83,1,
94,53,0,736,0,1,83,236,62,1220,46,480,8,64,59,44,83,1,
94,53,0,736,0,66,83,236,62,1220,46,480,8,64,59,7,83,1,
94,53,0,725,0,66,83,236,97,3456,46,480,8,64,96,7,83,1,
94,53,0,725,0,72,83,236,97,3456,46,480,8,64,96,28,83,1,
94,53,1,549,0,72,83,236,74,1407,46,480,8,64,83,28,83,1,
94,53,1,549,0,72,35,236,74,1407,46,480,8,64,83,28,83,0,
85,55,1,549,0,72,35,50,74,1407,75,550,19,69,83,28,68,0,
85,55,1,685,0,72,35,50,53,432,75,550,19,69,96,28,68,0,
85,55,1,685,0,36,35,50,53,432,75,550,19,69,96,27,68,0,
87,74,1,685,0,36,35,188,53,432,54,365,4,73,96,27,49,0,
23,78,1,685,1,36,35,194,53,432,31,278,16,25,96,27,3,0,
23,78,1,685,1,36,49,194,53,432,31,278,16,25,96,27,3,0,
23,78,1,685,1,62,49,194,53,432,31,278,16,25,96,20,3,0,
24,75,1,685,0,62,49,115,53,432,87,615,20,61,96,20,98,0,
9,11,1,685,1,62,49,161,53,432,89,571,3,40,96,20,2,0,
9,11,1,685,1,62,22,161,53,432,89,571,3,40,96,20,2,0,
9,11,1,685,1,62,22,161,53,432,89,571,3,40,96,20,2,1,
90,4,1,685,0,62,22,20,53,432,90,101,7,86,96,20,20,1,
90,4,1,685,0,25,22,20,53,432,90,101,7,86,96,30,20,1,
90,4,1,685,0,25,89,20,53,432,90,101,7,86,96,30,20,0,
90,4,1,685,0,61,89,20,53,432,90,101,7,86,96,3,20,0,
90,4,1,685,0,52,89,20,53,432,90,101,7,86,96,17,20,0,
90,4,1,685,0,2,89,20,53,432,90,101,7,86,96,49,20,0,
90,4,2,116,0,2,89,20,38,1439,90,101,7,86,74,49,20,0,
31,27,2,116,0,2,89,88,38,1439,21,535,8,0,74,49,91,0,
31,27,2,116,0,2,96,88,38,1439,21,535,8,0,74,49,91,1,
47,53,2,116,1,2,96,137,38,1439,79,269,15,56,74,49,23,1,
47,53,2,116,1,13,96,137,38,1439,79,269,15,56,74,0,23,1,
17,54,2,116,0,13,96,45,38,1439,8,989,16,0,74,0,2,1,
17,54,2,116,0,50,96,45,38,1439,8,989,16,0,74,3,2,1,
17,54,2,116,0,50,0,45,38,1439,8,989,16,0,74,3,2,1,
92,40,2,116,0,50,0,250,38,1439,97,708,7,0,74,3,23,1,
92,40,2,792,0,50,0,250,23,2145,97,708,7,0,93,3,23,1,
92,40,2,17,0,50,0,250,77,2009,97,708,7,0,47,3,23,1,
92,40,2,746,0,50,0,250,61,1098,97,708,7,0,71,3,23,1,
92,40,2,746,0,19,0,250,61,1098,97,708,7,0,71,36,23,1,
62,46,2,746,1,19,0,144,61,1098,80,908,0,4,71,36,2,1,
62,46,0,871,1,19,0,144,71,1317,80,908,0,4,14,36,2,1,
65,7,0,871,1,19,0,132,71,1317,19,564,3,46,14,36,14,1,
65,7,0,871,1,81,0,132,71,1317,19,564,3,46,14,9,14,1,
65,7,0,871,1,49,0,132,71,1317,19,564,3,46,14,16,14,1,
65,7,3,467,1,49,0,132,24,1898,19,564,3,46,56,16,14,1,
65,7,0,584,1,49,0,132,37,1671,19,564,3,46,23,16,14,1,
65,7,2,748,1,49,0,132,17,3163,19,564,3,46,65,16,14,1,
17,35,2,748,1,49,0,151,17,3163,28,388,15,72,65,16,46,1,
17,35,2,748,1,100,0,151,17,3163,28,388,15,72,65,37,46,1,
17,35,-1,655,1,100,0,151,67,2438,28,388,15,72,31,37,46,1,
75,66,-1,655,1,100,0,159,67,2438,7,454,10,74,31,37,67,1,
7,41,-1,655,0,100,0,49,67,2438,29,222,4,39,31,37,60,1,
7,41,1,138,0,100,0,49,53,3567,29,222,4,39,3,37,60,1,
7,41,1,138,0,100,72,49,53,3567,29,222,4,39,3,37,60,0,
7,41,2,10,0,100,72,49,76,1298,29,222,4,39,67,37,60,0,
