load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,1,319,0,0,0,0,65,3004,0,0,0,0,51,0,0,0,
0,0,1,319,0,0,53,0,65,3004,0,0,0,0,51,0,0,0,
0,0,1,319,0,61,53,0,65,3004,0,0,0,0,51,0,0,0,
0,0,1,319,0,30,53,0,65,3004,0,0,0,0,51,22,0,0,
0,0,1,923,0,30,53,0,9,1345,0,0,0,0,100,22,0,0,
0,0,2,41,0,30,53,0,33,503,0,0,0,0,31,22,0,0,
0,0,2,41,0,2,53,0,33,503,0,0,0,0,31,38,0,0,
0,0,2,41,0,31,53,0,33,503,0,0,0,0,31,18,0,0,
0,0,-1,609,0,31,53,0,91,1315,0,0,0,0,1,18,0,0,
0,0,-1,609,0,21,53,0,91,1315,0,0,0,0,1,15,0,0,
