load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
22,87,0,0,1,2,0,216,0,0,66,376,10,72,0,36,71,0,
22,87,0,0,1,99,0,216,0,0,66,376,10,72,0,25,71,0,
22,87,0,0,1,99,93,216,0,0,66,376,10,72,0,25,71,1,
22,87,0,0,1,99,83,216,0,0,66,376,10,72,0,25,71,0,
22,87,0,0,1,99,100,216,0,0,66,376,10,72,0,25,71,0,
22,87,0,0,1,99,50,216,0,0,66,376,10,72,0,25,71,0,
22,87,0,0,1,28,50,216,0,0,66,376,10,72,0,21,71,0,
22,87,2,133,1,28,50,216,57,3093,66,376,10,72,38,21,71,0,
22,87,2,133,1,95,50,216,57,3093,66,376,10,72,38,18,71,0,
22,87,2,133,1,90,50,216,57,3093,66,376,10,72,38,16,71,0,
75,43,2,133,1,90,50,16,57,3093,35,281,21,85,38,16,19,0,
75,43,2,133,1,91,50,16,57,3093,35,281,21,85,38,11,19,0,
75,43,3,152,1,91,50,16,100,444,35,281,21,85,18,11,19,0,
75,43,3,152,1,87,50,16,100,444,35,281,21,85,18,18,19,0,
75,43,3,152,1,87,33,16,100,444,35,281,21,85,18,18,19,0,
75,43,3,550,1,87,33,16,45,800,35,281,21,85,91,18,19,0,
100,61,3,550,0,87,33,126,45,800,42,691,12,72,91,18,95,0,
100,61,1,603,0,87,33,126,66,3223,42,691,12,72,100,18,95,0,
61,53,1,603,0,87,33,11,66,3223,55,390,20,81,100,18,70,0,
26,86,1,603,0,87,33,149,66,3223,85,859,8,51,100,18,94,0,
33,6,1,603,0,87,33,101,66,3223,26,798,3,45,100,18,45,0,
33,6,1,603,0,87,84,101,66,3223,26,798,3,45,100,18,45,0,
33,6,1,603,0,87,42,101,66,3223,26,798,3,45,100,18,45,1,
33,6,1,603,0,40,42,101,66,3223,26,798,3,45,100,30,45,1,
33,6,3,500,0,40,42,101,33,1316,26,798,3,45,19,30,45,1,
33,6,-1,745,0,40,42,101,100,2270,26,798,3,45,14,30,45,1,
60,22,-1,745,0,40,42,224,100,2270,63,437,3,42,14,30,73,1,
60,22,-1,745,0,40,78,224,100,2270,63,437,3,42,14,30,73,1,
36,72,-1,745,0,40,78,163,100,2270,17,14,6,21,14,30,20,1,
36,72,-1,745,0,5,78,163,100,2270,17,14,6,21,14,11,20,1,
36,72,3,530,0,5,78,163,34,91,17,14,6,21,16,11,20,1,
36,72,3,33,0,5,78,163,77,786,17,14,6,21,93,11,20,1,
31,28,3,33,1,5,78,102,77,786,56,851,16,43,93,11,73,1,
31,28,3,33,1,72,78,102,77,786,56,851,16,43,93,41,73,1,
34,53,3,33,0,72,78,225,77,786,17,412,2,19,93,41,20,1,
12,75,3,33,1,72,78,168,77,786,27,335,13,77,93,41,27,1,
9,82,3,33,0,72,78,32,77,786,79,957,11,96,93,41,19,1,
9,82,3,33,0,100,78,32,77,786,79,957,11,96,93,45,19,1,
9,82,3,33,0,100,28,32,77,786,79,957,11,96,93,45,19,1,
9,82,3,33,0,100,16,32,77,786,79,957,11,96,93,45,19,1,
9,82,3,33,0,81,16,32,77,786,79,957,11,96,93,4,19,1,
36,74,3,33,0,81,16,130,77,786,69,719,24,98,93,4,48,1,
81,27,3,33,0,81,16,220,77,786,61,615,12,42,93,4,95,1,
81,27,1,518,0,81,16,220,10,955,61,615,12,42,27,4,95,1,
81,27,1,518,0,81,30,220,10,955,61,615,12,42,27,4,95,1,
81,27,3,910,0,81,30,220,40,242,61,615,12,42,24,4,95,1,
81,27,3,910,0,81,19,220,40,242,61,615,12,42,24,4,95,1,
81,27,3,910,0,81,4,220,40,242,61,615,12,42,24,4,95,0,
81,27,3,910,0,81,94,220,40,242,61,615,12,42,24,4,95,0,
81,27,3,910,0,81,11,220,40,242,61,615,12,42,24,4,95,1,
81,27,2,109,0,81,11,220,59,304,61,615,12,42,99,4,95,1,
90,51,2,109,1,81,11,236,59,304,28,779,11,32,99,4,63,1,
90,51,2,109,1,81,50,236,59,304,28,779,11,32,99,4,63,1,
68,40,2,109,0,81,50,160,59,304,59,288,22,63,99,4,30,1,
68,40,2,815,0,81,50,160,89,65,59,288,22,63,4,4,30,1,
68,40,2,815,0,44,50,160,89,65,59,288,22,63,4,5,30,1,
68,40,0,878,0,44,50,160,82,2818,59,288,22,63,15,5,30,1,
68,40,0,878,0,0,50,160,82,2818,59,288,22,63,15,20,30,1,
22,85,0,878,0,0,50,57,82,2818,5,645,20,51,15,20,98,1,
22,85,2,89,0,0,50,57,89,2164,5,645,20,51,40,20,98,1,
22,85,-1,263,0,0,50,57,85,2815,5,645,20,51,16,20,98,1,
22,85,-1,263,0,0,2,57,85,2815,5,645,20,51,16,20,98,1,
22,85,-1,263,0,20,2,57,85,2815,5,645,20,51,16,36,98,1,
22,85,-1,263,0,82,2,57,85,2815,5,645,20,51,16,4,98,1,
22,85,-1,263,0,82,76,57,85,2815,5,645,20,51,16,4,98,0,
22,85,-1,263,0,16,76,57,85,2815,5,645,20,51,16,47,98,0,
22,85,-1,237,0,16,76,57,51,2038,5,645,20,51,94,47,98,0,
86,70,-1,237,0,16,76,78,51,2038,63,849,22,44,94,47,25,0,
86,70,-1,237,0,16,39,78,51,2038,63,849,22,44,94,47,25,0,
86,70,-1,237,0,23,39,78,51,2038,63,849,22,44,94,0,25,0,
86,70,-1,237,0,23,89,78,51,2038,63,849,22,44,94,0,25,1,
86,70,-1,237,0,23,95,78,51,2038,63,849,22,44,94,0,25,0,
86,70,-1,237,0,23,26,78,51,2038,63,849,22,44,
