load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
80,91,0,0,0,0,0,108,0,0,3,47,15,76,0,0,66,0,
80,91,0,0,0,46,0,108,0,0,3,47,15,76,0,27,66,0,
76,32,0,0,0,46,0,135,0,0,79,516,19,45,0,27,93,0,
76,32,0,0,0,46,62,135,0,0,79,516,19,45,0,27,93,0,
76,32,0,0,0,46,14,135,0,0,79,516,19,45,0,27,93,0,
76,32,0,0,0,46,44,135,0,0,79,516,19,45,0,27,93,0,
76,32,0,0,0,46,22,135,0,0,79,516,19,45,0,27,93,1,
76,32,0,845,0,46,22,135,58,220,79,516,19,45,29,27,93,1,
76,32,0,845,0,46,1,135,58,220,79,516,19,45,29,27,93,0,
76,32,-1,9,0,46,1,135,48,3243,79,516,19,45,44,27,93,0,
76,32,-1,9,0,71,1,135,48,3243,79,516,19,45,44,26,93,0,
76,32,-1,9,0,57,1,135,48,3243,79,516,19,45,44,0,93,0,
13,27,-1,9,1,57,1,133,48,3243,17,44,9,26,44,0,47,0,
13,27,-1,9,1,10,1,133,48,3243,17,44,9,26,44,36,47,0,
13,27,3,64,1,10,1,133,7,1481,17,44,9,26,10,36,47,0,
13,27,3,64,1,51,1,133,7,1481,17,44,9,26,10,27,47,0,
13,27,3,64,1,51,47,133,7,1481,17,44,9,26,10,27,47,0,
22,8,3,64,1,51,47,222,7,1481,22,232,22,44,10,27,33,0,
