load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,
94,82,0,0,0,0,57,233,0,0,60,517,24,54,0,0,57,0,
94,82,0,0,0,0,49,233,0,0,60,517,24,54,0,0,57,1,
94,82,3,442,0,0,49,233,77,2322,60,517,24,54,81,0,57,1,
93,12,3,442,0,0,49,80,77,2322,42,210,20,13,81,0,64,1,
93,12,3,442,0,26,49,80,77,2322,42,210,20,13,81,3,64,1,
93,12,3,442,0,92,49,80,77,2322,42,210,20,13,81,42,64,1,
93,12,2,616,0,92,49,80,62,171,42,210,20,13,74,42,64,1,
93,12,2,616,0,92,88,80,62,171,42,210,20,13,74,42,64,0,
93,12,2,616,0,92,68,80,62,171,42,210,20,13,74,42,64,0,
98,34,2,616,0,92,68,152,62,171,81,937,11,61,74,42,98,0,
98,34,2,616,0,92,13,152,62,171,81,937,11,61,74,42,98,0,
98,34,0,272,0,92,13,152,4,3442,81,937,11,61,58,42,98,0,
98,34,0,272,0,88,13,152,4,3442,81,937,11,61,58,38,98,0,
44,4,0,272,1,88,13,4,4,3442,2,402,20,13,58,38,64,0,
44,4,0,272,1,99,13,4,4,3442,2,402,20,13,58,13,64,0,
44,4,1,222,1,99,13,4,19,366,2,402,20,13,74,13,64,0,
44,4,1,897,1,99,13,4,7,1376,2,402,20,13,18,13,64,0,
44,4,1,897,1,99,62,4,7,1376,2,402,20,13,18,13,64,0,
68,0,1,897,0,99,62,47,7,1376,91,311,23,9,18,13,33,0,
68,0,1,897,0,59,62,47,7,1376,91,311,23,9,18,3,33,0,
68,0,1,897,0,59,6,47,7,1376,91,311,23,9,18,3,33,0,
68,0,1,897,0,59,71,47,7,1376,91,311,23,9,18,3,33,0,
68,0,1,897,0,59,7,47,7,1376,91,311,23,9,18,3,33,0,
68,0,1,897,0,59,32,47,7,1376,91,311,23,9,18,3,33,1,
68,0,1,897,0,77,32,47,7,1376,91,311,23,9,18,37,33,1,
68,0,1,897,0,90,32,47,7,1376,91,311,23,9,18,34,33,1,
86,99,1,897,0,90,32,203,7,1376,8,348,14,67,18,34,86,1,
86,99,1,897,0,28,32,203,7,1376,8,348,14,67,18,19,86,1,
86,99,1,897,0,28,31,203,7,1376,8,348,14,67,18,19,86,1,
86,99,1,897,0,28,4,203,7,1376,8,348,14,67,18,19,86,0,
86,99,1,897,0,28,25,203,7,1376,8,348,14,67,18,19,86,1,
86,99,1,897,0,28,71,203,7,1376,8,348,14,67,18,19,86,1,
79,31,1,897,1,28,71,96,7,1376,72,110,23,30,18,19,44,1,
79,31,1,897,1,97,71,96,7,1376,72,110,23,30,18,5,44,1,
79,31,1,897,1,97,20,96,7,1376,72,110,23,30,18,5,44,0,
79,31,1,897,1,97,10,96,7,1376,72,110,23,30,18,5,44,0,
79,31,1,897,1,97,83,96,7,1376,72,110,23,30,18,5,44,0,
79,31,1,897,1,97,24,96,7,1376,72,110,23,30,18,5,44,1,
34,68,1,897,0,97,24,45,7,1376,31,58,2,40,18,5,56,1,
34,68,1,897,0,65,24,45,7,1376,31,58,2,40,18,37,56,1,
34,68,2,579,0,65,24,45,93,529,31,58,2,40,23,37,56,1,
34,68,0,974,0,65,24,45,67,2085,31,58,2,40,85,37,56,1,
34,68,0,974,0,18,24,45,67,2085,31,58,2,40,85,22,56,1,
34,68,0,974,0,18,62,45,67,2085,31,58,2,40,85,22,56,0,
34,68,0,974,0,18,79,45,67,2085,31,58,2,40,85,22,56,0,
45,89,0,974,0,18,79,243,67,2085,17,77,9,22,85,22,42,0,
45,89,0,974,0,49,79,243,67,2085,17,77,9,22,85,22,42,0,
40,61,0,974,0,49,79,210,67,2085,31,865,2,9,85,22,98,0,
40,61,0,974,0,49,18,210,67,2085,31,865,2,9,85,22,98,1,
90,85,0,974,1,49,18,76,67,2085,66,35,17,17,85,22,79,1,
90,85,0,974,1,49,14,76,67,2085,66,35,17,17,85,22,79,0,
90,85,0,974,1,14,14,76,67,2085,66,35,17,17,85,27,79,0,
90,85,1,848,1,14,14,76,27,3183,66,35,17,17,44,27,79,0,
90,85,2,415,1,14,14,76,55,1540,66,35,17,17,42,27,79,0,
48,78,2,415,0,14,14,180,55,1540,52,146,21,84,42,27,58,0,
8,23,2,415,1,14,14,190,55,1540,81,471,19,69,42,27,80,0,
8,23,2,415,1,14,80,190,55,1540,81,471,19,69,42,27,80,1,
8,23,2,415,1,67,80,190,55,1540,81,471,19,69,42,36,80,1,
47,22,2,415,1,67,80,64,55,1540,63,659,0,24,42,36,11,1,
47,22,2,415,1,68,80,64,55,1540,63,659,0,24,42,9,11,1,
47,22,2,415,1,24,80,64,55,1540,63,659,0,24,42,1,11,1,
47,22,1,473,1,24,80,64,47,1475,63,659,0,24,39,1,11,1,
47,22,2,418,1,24,80,64,82,3178,63,659,0,24,11,1,11,1,
47,22,2,418,1,47,80,64,82,3178,63,659,0,24,11,41,11,1,
40,43,2,418,1,47,80,163,82,3178,57,251,1,16,11,41,94,1,
40,43,2,418,1,43,80,163,82,3178,57,251,1,16,11,9,94,1,
40,43,2,418,1,11,80,163,82,3178,57,251,1,16,11,7,94,1,
40,43,2,418,1,74,80,163,82,3178,57,251,1,16,11,16,94,1,
26,16,2,418,0,74,80,164,82,3178,5,719,4,65,11,16,76,1,
56,13,2,418,1,74,80,220,82,3178,6,604,12,0,11,16,9,1,
56,13,2,418,1,85,80,220,82,3178,6,604,12,0,11,8,9,1,
56,13,2,641,1,85,80,220,87,1608,6,604,12,0,35,8,9,1,
56,13,2,641,1,85,85,220,87,1608,6,604,12,0,35,8,9,1,
56,13,2,641,1,85,0,220,87,1608,6,604,12,0,35,8,9,0,
56,13,3,61,1,85,0,220,44,199,6,604,12,0,91,8,9,0,
56,13,3,61,1,41,0,220,44,199,6,604,12,0,91,50,9,0,
48,44,3,61,1,41,0,95,44,199,62,286,20,48,91,50,76,0,
48,44,3,61,1,45,0,95,44,199,62,286,20,48,91,27,76,0,
48,44,1,807,1,45,0,95,45,3112,62,286,20,48,47,27,76,0,
58,45,1,807,0,45,0,201,45,3112,94,196,2,87,47,27,74,0,
58,45,1,807,0,45,8,201,45,3112,94,196,2,87,47,27,74,0,
58,45,2,32,0,45,8,201,4,2477,94,196,2,87,23,27,74,0,
58,45,0,540,0,45,8,201,49,284,94,196,2,87,42,27,74,0,
58,45,-1,133,0,45,8,201,95,567,94,196,2,87,72,27,74,0,
58,45,-1,133,0,76,8,201,95,567,94,196,2,87,72,7,74,0,
58,45,-1,111,0,76,8,201,47,1925,94,196,2,87,61,7,74,0,
58,45,-1,111,0,76,16,201,47,1925,94,196,2,87,61,7,74,0,
58,45,-1,111,0,47,16,201,47,1925,94,196,2,87,61,29,74,0,
33,40,-1,111,0,47,16,249,47,1925,15,300,23,29,61,29,50,0,
33,40,-1,111,0,47,72,249,47,1925,15,300,23,29,61,29,50,1,
33,40,-1,111,0,47,13,249,47,1925,15,300,23,29,61,29,50,0,
33,40,-1,111,0,47,5,249,47,1925,15,300,23,29,61,29,50,0,
33,40,1,503,0,47,5,249,10,2893,15,300,23,29,0,29,50,0,
33,40,1,503,0,47,64,249,10,2893,15,300,23,29,0,29,50,1,
33,40,-1,180,0,47,64,249,8,1594,15,300,23,29,88,29,50,1,
33,40,-1,180,0,78,64,249,8,1594,15,300,23,29,88,14,50,1,
33,40,-1,180,0,23,64,249,8,1594,15,300,23,29,88,12,50,1,
87,94,-1,180,1,23,64,172,8,1594,9,314,7,53,88,12,95,1,
87,94,-1,892,1,23,64,172,61,3324,9,314,7,53,45,12,95,1,
87,94,0,620,1,23,64,172,96,913,9,314,7,53,18,12,95,1,
78,16,0,620,0,23,64,82,96,913,95,47,9,96,18,12,78,1,
78,16,0,620,0,23,14,82,96,913,95,47,9,96,18,12,78,0,
78,16,2,614,0,23,14,82,85,1682,95,47,9,96,58,12,78,0,
78,16,2,614,0,23,95,82,85,1682,95,47,9,96,58,12,78,0,
78,16,2,614,0,36,95,82,85,1682,95,47,9,96,58,50,78,0,
21,12,2,614,1,36,95,185,85,1682,21,137,10,51,58,50,74,0,
21,12,2,614,1,28,95,185,85,1682,21,137,10,51,58,22,74,0,
21,12,2,614,1,51,95,185,85,1682,21,137,10,51,58,29,74,0,
21,12,2,614,1,51,12,185,85,1682,21,137,10,51,58,29,74,1,
21,12,2,421,1,51,12,185,48,1581,21,137,10,51,58,29,74,1,
21,12,2,421,1,51,43,185,48,1581,21,137,10,51,58,29,74,1,
21,12,2,421,1,51,45,185,48,1581,21,137,10,51,58,29,74,0,
2,12,2,421,0,51,45,4,48,1581,11,622,19,14,58,29,95,0,
2,12,2,421,0,51,17,4,48,1581,11,622,19,14,58,29,95,0,
2,12,3,482,0,51,17,4,73,352,11,622,19,14,39,29,95,0,
2,12,3,482,0,51,52,4,73,352,11,622,19,14,39,29,95,0,
2,12,3,482,0,51,59,4,73,352,11,622,19,14,39,29,95,0,
2,12,0,711,0,51,59,4,57,3230,11,622,19,14,2,29,95,0,
2,12,0,711,0,87,59,4,57,3230,11,622,19,14,2,21,95,0,
76,42,0,711,0,87,59,231,57,3230,94,960,5,75,2,21,56,0,
76,42,0,711,0,87,2,231,57,3230,94,960,5,75,2,21,56,0,
76,42,0,711,0,26,2,231,57,3230,94,960,5,75,2,1,56,0,
76,42,0,711,0,26,80,231,57,3230,94,960,5,75,2,1,56,1,
76,42,0,711,0,26,85,231,57,3230,94,960,5,75,2,1,56,1,
79,87,0,711,0,26,85,224,57,3230,35,497,22,25,2,1,22,1,
79,87,-1,917,0,26,85,224,46,741,35,497,22,25,43,1,22,1,
62,43,-1,917,1,26,85,46,46,741,14,982,12,66,43,1,21,1,
94,32,-1,917,0,26,85,123,46,741,67,156,1,45,43,1,4,1,
94,32,-1,917,0,26,14,123,46,741,67,156,1,45,43,1,4,1,
94,32,-1,917,0,26,75,123,46,741,67,156,1,45,43,1,4,0,
94,32,-1,917,0,26,21,123,46,741,67,156,1,45,43,1,4,1,
94,32,-1,917,0,46,21,123,46,741,67,156,1,45,43,18,4,1,
