load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,-1,890,0,0,81,0,95,1819,0,0,0,0,56,0,0,1,
0,0,-1,890,0,0,85,0,95,1819,0,0,0,0,56,0,0,0,
0,0,-1,890,0,52,85,0,95,1819,0,0,0,0,56,11,0,0,
64,87,-1,890,0,52,85,151,95,1819,23,175,14,22,56,11,40,0,
64,87,-1,890,0,62,85,151,95,1819,23,175,14,22,56,45,40,0,
64,87,3,835,0,62,85,151,74,2818,23,175,14,22,12,45,40,0,
97,16,3,835,1,62,85,156,74,2818,37,771,22,11,12,45,95,0,
97,16,3,835,1,62,39,156,74,2818,37,771,22,11,12,45,95,1,
12,33,3,835,1,62,39,9,74,2818,49,476,22,75,12,45,86,1,
56,99,3,835,0,62,39,204,74,2818,67,334,20,26,12,45,41,1,
96,100,3,835,0,62,39,154,74,2818,66,131,19,69,12,45,94,1,
96,100,3,835,0,9,39,154,74,2818,66,131,19,69,12,48,94,1,
96,100,3,835,0,9,27,154,74,2818,66,131,19,69,12,48,94,0,
96,100,3,1,0,9,27,154,91,1112,66,131,19,69,31,48,94,0,
96,100,3,1,0,9,38,154,91,1112,66,131,19,69,31,48,94,0,
93,98,3,1,1,9,38,148,91,1112,71,131,21,40,31,48,43,0,
93,98,-1,69,1,9,38,148,36,567,71,131,21,40,31,48,43,0,
93,98,-1,69,1,9,63,148,36,567,71,131,21,40,31,48,43,0,
93,98,-1,69,1,53,63,148,36,567,71,131,21,40,31,23,43,0,
83,69,-1,69,1,53,63,202,36,567,81,51,1,86,31,23,66,0,
64,96,-1,69,0,53,63,85,36,567,74,683,14,69,31,23,91,0,
92,86,-1,69,0,53,63,237,36,567,3,790,7,2,31,23,66,0,
92,86,-1,69,0,2,63,237,36,567,3,790,7,2,31,49,66,0,
73,2,-1,69,1,2,63,141,36,567,23,793,2,45,31,49,17,0,
73,2,0,958,1,2,63,141,40,3380,23,793,2,45,100,49,17,0,
73,2,0,958,1,2,74,141,40,3380,23,793,2,45,100,49,17,1,
73,2,0,958,1,2,38,141,40,3380,23,793,2,45,100,49,17,1,
