load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
71,77,0,0,0,96,0,191,0,0,68,554,23,61,0,36,33,0,
71,77,0,0,0,96,44,191,0,0,68,554,23,61,0,36,33,1,
71,77,0,0,0,96,0,191,0,0,68,554,23,61,0,36,33,1,
53,77,0,0,0,96,0,62,0,0,36,38,9,45,0,36,19,1,
14,53,0,0,1,96,0,207,0,0,65,735,5,1,0,36,93,1,
14,53,1,946,1,96,0,207,0,1127,65,735,5,1,17,36,93,1,
14,53,3,824,1,96,0,207,90,1565,65,735,5,1,60,36,93,1,
14,53,3,824,1,96,90,207,90,1565,65,735,5,1,60,36,93,1,
81,48,3,824,0,96,90,79,90,1565,52,251,10,99,60,36,62,1,
81,48,3,824,0,45,90,79,90,1565,52,251,10,99,60,6,62,1,
81,48,3,824,0,45,33,79,90,1565,52,251,10,99,60,6,62,0,
15,89,3,824,0,45,33,66,90,1565,1,628,3,69,60,6,2,0,
15,89,3,824,0,61,33,66,90,1565,1,628,3,69,60,23,2,0,
89,1,3,824,1,61,33,160,90,1565,42,460,19,72,60,23,75,0,
67,9,3,824,0,61,33,98,90,1565,42,948,3,68,60,23,24,0,
67,9,3,824,0,82,33,98,90,1565,42,948,3,68,60,23,24,0,
67,9,3,824,0,82,34,98,90,1565,42,948,3,68,60,23,24,1,
67,9,3,824,0,82,93,98,90,1565,42,948,3,68,60,23,24,1,
67,9,3,824,0,100,93,98,90,1565,42,948,3,68,60,12,24,1,
67,9,3,32,0,100,93,98,41,2040,42,948,3,68,72,12,24,1,
67,9,3,32,0,30,93,98,41,2040,42,948,3,68,72,37,24,1,
67,9,3,32,0,4,93,98,41,2040,42,948,3,68,72,45,24,1,
31,8,3,32,0,4,93,170,41,2040,94,728,19,75,72,45,94,1,
31,8,3,32,0,4,67,170,41,2040,94,728,19,75,72,45,94,0,
31,8,3,32,0,4,59,170,41,2040,94,728,19,75,72,45,94,0,
31,8,3,32,0,59,59,170,41,2040,94,728,19,75,72,44,94,0,
31,8,2,568,0,59,59,170,33,1162,94,728,19,75,100,44,94,0,
31,8,2,568,0,93,59,170,33,1162,94,728,19,75,100,42,94,0,
31,8,-1,124,0,93,59,170,42,3236,94,728,19,75,79,42,94,0,
31,8,-1,27,0,93,59,170,50,1588,94,728,19,75,71,42,94,0,
