load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,0,3,672,0,67,0,0,16,3459,0,0,0,0,17,16,0,0,
54,27,3,672,1,67,0,105,16,3459,55,978,3,33,17,16,78,0,
38,27,3,672,1,67,0,194,16,3459,86,598,0,79,17,16,71,0,
38,27,3,672,1,44,0,194,16,3459,86,598,0,79,17,34,71,0,
19,36,3,672,1,44,0,112,16,3459,33,84,24,14,17,34,44,0,
15,78,3,672,1,44,0,173,16,3459,43,636,1,84,17,34,1,0,
15,78,3,672,1,97,0,173,16,3459,43,636,1,84,17,37,1,0,
15,78,3,672,1,82,0,173,16,3459,43,636,1,84,17,44,1,0,
46,20,3,672,0,82,0,129,16,3459,97,691,12,40,17,44,14,0,
46,20,3,672,0,99,0,129,16,3459,97,691,12,40,17,22,14,0,
46,20,3,973,0,99,0,129,19,2039,97,691,12,40,16,22,14,0,
46,20,3,973,0,43,0,129,19,2039,97,691,12,40,16,9,14,0,
57,76,3,973,1,43,0,216,19,2039,80,221,15,16,16,9,75,0,
75,56,3,973,1,43,0,199,19,2039,38,119,18,16,16,9,65,0,
75,56,3,585,1,43,0,199,74,858,38,119,18,16,73,9,65,0,
75,56,3,585,1,43,21,199,74,858,38,119,18,16,73,9,65,0,
75,56,3,854,1,43,21,199,14,1808,38,119,18,16,37,9,65,0,
75,56,-1,875,1,43,21,199,91,809,38,119,18,16,25,9,65,0,
75,56,-1,875,1,43,23,199,91,809,38,119,18,16,25,9,65,1,
75,56,-1,875,1,43,76,199,91,809,38,119,18,16,25,9,65,1,
58,63,-1,875,0,43,76,90,91,809,0,138,15,20,25,9,41,1,
58,63,-1,875,0,43,13,90,91,809,0,138,15,20,25,9,41,1,
58,63,2,532,0,43,13,90,6,2462,0,138,15,20,1,9,41,1,
58,63,2,113,0,43,13,90,36,1730,0,138,15,20,30,9,41,1,
87,70,2,113,1,43,13,253,36,1730,80,186,2,81,30,9,69,1,
