load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,27,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,
0,27,0,0,0,0,0,0,0,0,86,0,0,21,0,0,0,1,
0,99,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1,
0,99,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,
0,99,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,
0,65,0,0,0,0,0,0,0,0,65,0,0,6,0,0,0,1,
0,65,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,1,
0,65,0,0,0,0,0,0,0,0,96,0,0,6,0,0,0,1,
0,58,0,0,0,0,0,0,0,0,96,0,0,37,0,0,0,1,
0,0,3,258,0,58,96,0,31,1462,0,0,0,0,24,37,0,1,
0,0,3,258,0,43,96,0,31,1462,0,0,0,0,24,50,0,1,
0,0,3,79,0,43,96,0,100,2032,0,0,0,0,20,50,0,1,
0,0,3,79,0,43,69,0,100,2032,0,0,0,0,20,50,0,0,
0,0,3,920,0,43,69,0,17,3046,0,0,0,0,19,50,0,0,
67,55,3,920,1,43,69,240,17,3046,48,912,21,33,19,50,33,0,
67,55,3,920,1,87,69,240,17,3046,48,912,21,33,19,7,33,0,
67,55,3,920,1,51,69,240,17,3046,48,912,21,33,19,3,33,0,
67,55,3,920,1,51,21,240,17,3046,48,912,21,33,19,3,33,1,
67,55,3,249,1,51,21,240,22,1456,48,912,21,33,8,3,33,1,
67,55,3,330,1,51,21,240,20,1454,48,912,21,33,56,3,33,1,
67,55,3,330,1,14,21,240,20,1454,48,912,21,33,56,31,33,1,
67,55,3,330,1,93,21,240,20,1454,48,912,21,33,56,13,33,1,
67,55,3,330,1,92,21,240,20,1454,48,912,21,33,56,40,33,1,
72,98,3,330,1,92,21,17,20,1454,23,764,5,97,56,40,98,1,
43,85,3,330,0,92,21,183,20,1454,49,1,8,36,56,40,29,1,
43,85,3,330,0,92,61,183,20,1454,49,1,8,36,56,40,29,1,
43,85,1,159,0,92,61,183,61,3242,49,1,8,36,9,40,29,1,
43,85,1,159,0,92,34,183,61,3242,49,1,8,36,9,40,29,1,
43,85,1,159,0,4,34,183,61,3242,49,1,8,36,9,25,29,1,
43,85,1,159,0,4,68,183,61,3242,49,1,8,36,9,25,29,1,
43,85,1,159,0,4,5,183,61,3242,49,1,8,36,9,25,29,0,
43,85,1,159,0,43,5,183,61,3242,49,1,8,36,9,17,29,0,
43,85,-1,863,0,43,5,183,61,3443,49,1,8,36,62,17,29,0,
25,22,-1,863,1,43,5,140,61,3443,41,42,2,74,62,17,78,0,
42,77,-1,863,1,43,5,27,61,3443,20,386,9,36,62,17,72,0,
42,77,-1,863,1,43,30,27,61,3443,20,386,9,36,62,17,72,0,
42,77,-1,863,1,74,30,27,61,3443,20,386,9,36,62,3,72,0,
42,77,-1,863,1,36,30,27,61,3443,20,386,9,36,62,49,72,0,
42,77,-1,863,1,2,30,27,61,3443,20,386,9,36,62,4,72,0,
42,77,3,880,1,2,30,27,32,2327,20,386,9,36,70,4,72,0,
42,77,3,880,1,62,30,27,32,2327,20,386,9,36,70,1,72,0,
42,77,-1,380,1,62,30,27,50,3130,20,386,9,36,49,1,72,0,
9,21,-1,380,1,62,30,76,50,3130,98,987,7,70,49,1,93,0,
89,63,-1,380,1,62,30,53,50,3130,80,664,4,56,49,1,22,0,
89,63,1,11,1,62,30,53,86,1054,80,664,4,56,58,1,22,0,
89,63,1,11,1,62,66,53,86,1054,80,664,4,56,58,1,22,0,
89,63,1,11,1,35,66,53,86,1054,80,664,4,56,58,29,22,0,
89,63,1,11,1,35,15,53,86,1054,80,664,4,56,58,29,22,0,
89,63,0,296,1,35,15,53,7,2003,80,664,4,56,93,29,22,0,
43,96,0,296,0,35,15,44,7,2003,35,500,8,61,93,29,97,0,
22,38,0,296,1,35,15,188,7,2003,3,716,13,15,93,29,100,0,
22,38,0,296,1,34,15,188,7,2003,3,716,13,15,93,5,100,0,
95,84,0,296,0,34,15,78,7,2003,35,296,11,9,93,5,18,0,
95,84,0,296,0,29,15,78,7,2003,35,296,11,9,93,3,18,0,
95,84,0,296,0,29,3,78,7,2003,35,296,11,9,93,3,18,0,
95,84,0,296,0,80,3,78,7,2003,35,296,11,9,93,36,18,0,
95,84,1,678,0,80,3,78,37,3388,35,296,11,9,16,36,18,0,
7,17,1,678,0,80,3,174,37,3388,11,467,10,88,16,36,89,0,
7,17,1,678,0,73,3,174,37,3388,11,467,10,88,16,35,89,0,
37,45,1,678,0,73,3,102,37,3388,51,937,22,21,16,35,26,0,
37,45,1,678,0,32,3,102,37,3388,51,937,22,21,16,0,26,0,
37,45,1,678,0,87,3,102,37,3388,51,937,22,21,16,6,26,0,
25,10,1,678,1,87,3,15,37,3388,97,15,0,91,16,6,98,0,
30,48,1,678,1,87,3,18,37,3388,92,277,23,100,16,6,84,0,
