load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,-1,932,0,28,0,0,73,1869,0,0,0,0,91,48,0,0,
0,0,-1,932,0,28,41,0,73,1869,0,0,0,0,91,48,0,1,
0,0,-1,932,0,28,61,0,73,1869,0,0,0,0,91,48,0,1,
0,0,0,37,0,28,61,0,75,1098,0,0,0,0,81,48,0,1,
0,0,0,37,0,1,61,0,75,1098,0,0,0,0,81,35,0,1,
0,0,0,37,0,83,61,0,75,1098,0,0,0,0,81,36,0,1,
0,0,0,37,0,21,61,0,75,1098,0,0,0,0,81,19,0,1,
99,92,0,37,1,21,61,142,75,1098,26,744,1,66,81,19,60,1,
99,92,0,37,1,21,42,142,75,1098,26,744,1,66,81,19,60,1,
77,53,0,37,1,21,42,150,75,1098,100,132,7,59,81,19,43,1,
77,53,0,37,1,91,42,150,75,1098,100,132,7,59,81,44,43,1,
77,53,0,37,1,76,42,150,75,1098,100,132,7,59,81,7,43,1,
77,53,3,478,1,76,42,150,4,3195,100,132,7,59,88,7,43,1,
77,53,0,594,1,76,42,150,85,2057,100,132,7,59,13,7,43,1,
81,35,0,594,1,76,42,0,85,2057,63,345,8,89,13,7,84,1,
81,35,0,594,1,76,77,0,85,2057,63,345,8,89,13,7,84,1,
81,35,0,594,1,76,82,0,85,2057,63,345,8,89,13,7,84,1,
72,51,0,594,0,76,82,191,85,2057,37,803,18,68,13,7,9,1,
72,51,1,700,0,76,82,191,21,478,37,803,18,68,11,7,9,1,
72,51,1,430,0,76,82,191,86,1882,37,803,18,68,8,7,9,1,
29,10,1,430,0,76,82,64,86,1882,58,530,12,69,8,7,9,1,
29,10,-1,721,0,76,82,64,54,363,58,530,12,69,85,7,9,1,
29,10,2,865,0,76,82,64,7,569,58,530,12,69,69,7,9,1,
24,77,2,865,1,76,82,208,7,569,5,401,16,0,69,7,91,1,
32,71,2,865,1,76,82,32,7,569,51,226,3,26,69,7,66,1,
77,5,2,865,1,76,82,242,7,569,22,838,23,57,69,7,76,1,
2,99,2,865,1,76,82,56,7,569,54,860,4,99,69,7,87,1,
2,99,2,865,1,49,82,56,7,569,54,860,4,99,69,0,87,1,
2,99,2,865,1,49,39,56,7,569,54,860,4,99,69,0,87,0,
61,65,2,865,1,49,39,28,7,569,1,89,6,93,69,0,2,0,
55,30,2,865,0,49,39,29,7,569,80,317,4,91,69,0,74,0,
55,30,2,865,0,18,39,29,7,569,80,317,4,91,69,14,74,0,
13,74,2,865,1,18,39,65,7,569,55,597,1,90,69,14,36,0,
13,74,0,232,1,18,39,65,33,2000,55,597,1,90,21,14,36,0,
13,74,0,232,1,18,35,65,33,2000,55,597,1,90,21,14,36,1,
48,42,0,232,0,18,35,9,33,2000,75,426,11,98,21,14,11,1,
48,42,0,232,0,18,75,9,33,2000,75,426,11,98,21,14,11,0,
19,38,0,232,0,18,75,165,33,2000,41,72,9,80,21,14,100,0,
19,38,1,598,0,18,75,165,92,2956,41,72,9,80,77,14,100,0,
19,38,1,598,0,18,37,165,92,2956,41,72,9,80,77,14,100,1,
19,38,1,259,0,18,37,165,94,743,41,72,9,80,58,14,100,1,
19,38,1,259,0,18,95,165,94,743,41,72,9,80,58,14,100,1,
19,38,1,259,0,97,95,165,94,743,41,72,9,80,58,9,100,1,
19,38,1,259,0,75,95,165,94,743,41,72,9,80,58,7,100,1,
19,38,1,259,0,75,90,165,94,743,41,72,9,80,58,7,100,0,
19,38,1,259,0,37,90,165,94,743,41,72,9,80,58,50,100,0,
19,38,0,967,0,37,90,165,27,2209,41,72,9,80,71,50,100,0,
19,38,0,156,0,37,90,165,73,2496,41,72,9,80,2,50,100,0,
18,53,0,156,1,37,90,171,73,2496,76,209,11,63,2,50,31,0,
18,53,0,156,1,18,90,171,73,2496,76,209,11,63,2,27,31,0,
18,53,0,156,1,18,42,171,73,2496,76,209,11,63,2,27,31,1,
18,53,0,156,1,78,42,171,73,2496,76,209,11,63,2,22,31,1,
18,53,0,156,1,31,42,171,73,2496,76,209,11,63,2,22,31,1,
86,27,0,156,0,31,42,151,73,2496,36,721,11,52,2,22,38,1,
86,27,0,156,0,31,16,151,73,2496,36,721,11,52,2,22,38,1,
86,27,0,156,0,31,92,151,73,2496,36,721,11,52,2,22,38,0,
41,34,0,156,0,31,92,201,73,2496,29,61,24,68,2,22,78,0,
41,34,2,331,0,31,92,201,22,1403,29,61,24,68,3,22,78,0,
41,34,1,69,0,31,92,201,3,2014,29,61,24,68,89,22,78,0,
41,34,1,69,0,23,92,201,3,2014,29,61,24,68,89,42,78,0,
41,34,1,69,0,23,35,201,3,2014,29,61,24,68,89,42,78,1,
41,34,1,69,0,2,35,201,3,2014,29,61,24,68,89,27,78,1,
41,34,1,69,0,2,50,201,3,2014,29,61,24,68,89,27,78,1,
41,34,1,69,0,2,35,201,3,2014,29,61,24,68,89,27,78,1,
41,34,1,69,0,97,35,201,3,2014,29,61,24,68,89,10,78,1,
41,34,1,69,0,97,79,201,3,2014,29,61,24,68,89,10,78,0,
41,34,-1,507,0,97,79,201,76,2278,29,61,24,68,66,10,78,0,
41,34,-1,507,0,86,79,201,76,2278,29,61,24,68,66,3,78,0,
41,34,-1,507,0,1,79,201,76,2278,29,61,24,68,66,35,78,0,
51,0,-1,507,0,1,79,172,76,2278,2,366,13,74,66,35,92,0,
61,29,-1,507,1,1,79,128,76,2278,80,108,10,9,66,35,75,0,
61,29,-1,507,1,1,46,128,76,2278,80,108,10,9,66,35,75,1,
61,29,3,399,1,1,46,128,4,3117,80,108,10,9,0,35,75,1,
61,29,-1,152,1,1,46,128,59,373,80,108,10,9,60,35,75,1,
41,45,-1,152,1,1,46,255,59,373,64,745,19,77,60,35,56,1,
41,45,-1,152,1,1,13,255,59,373,64,745,19,77,60,35,56,1,
41,45,2,463,1,1,13,255,68,2594,64,745,19,77,33,35,56,1,
41,45,2,463,1,1,13,255,68,2594,64,745,19,77,33,14,56,1,
41,45,2,463,1,45,13,255,68,2594,64,745,19,77,33,45,56,1,
41,45,2,463,1,88,13,255,68,2594,64,745,19,77,33,4,56,1,
41,45,1,149,1,88,13,255,82,1195,64,745,19,77,82,4,56,1,
41,45,1,149,1,88,39,255,82,1195,64,745,19,77,82,4,56,1,
41,45,1,149,1,34,39,255,82,1195,64,745,19,77,82,35,56,1,
38,38,1,149,1,34,39,14,82,1195,90,402,2,96,82,35,65,1,
38,38,1,149,1,71,39,14,82,1195,90,402,2,96,82,14,65,1,
38,38,3,238,1,71,39,14,96,1341,90,402,2,96,2,14,65,1,
38,38,3,45,1,71,39,14,63,526,90,402,2,96,27,14,65,1,
38,38,3,45,1,94,39,14,63,526,90,402,2,96,27,8,65,1,
38,38,-1,757,1,94,39,14,79,502,90,402,2,96,47,8,65,1,
38,38,-1,757,1,94,79,14,79,502,90,402,2,96,47,8,65,1,
38,38,-1,757,1,94,65,14,79,502,90,402,2,96,47,8,65,1,
38,38,0,623,1,94,65,14,27,1993,90,402,2,96,61,8,65,1,
38,38,0,623,1,30,65,14,27,1993,90,402,2,96,61,41,65,1,
38,38,-1,480,1,30,65,14,34,1673,90,402,2,96,62,41,65,1,
38,38,2,903,1,30,65,14,2,242,90,402,2,96,42,41,65,1,
38,38,2,903,1,27,65,14,2,242,90,402,2,96,42,43,65,1,
38,38,2,903,1,49,65,14,2,242,90,402,2,96,42,34,65,1,
38,38,2,903,1,49,27,14,2,242,90,402,2,96,42,34,65,0,
38,38,2,903,1,77,27,14,2,242,90,402,2,96,42,16,65,0,
38,38,2,903,1,77,2,14,2,242,90,402,2,96,42,16,65,1,
38,38,2,903,1,88,2,14,2,242,90,402,2,96,42,48,65,1,
38,38,2,903,1,55,2,14,2,242,90,402,2,96,42,17,65,1,
38,38,2,903,1,55,40,14,2,242,90,402,2,96,42,17,65,1,
38,38,2,58,1,55,40,14,44,3048,90,402,2,96,65,17,65,1,
45,63,2,58,1,55,40,127,44,3048,58,488,0,19,65,17,46,1,
68,100,2,58,1,55,40,14,44,3048,75,989,3,34,65,17,70,1,
68,100,2,58,1,10,40,14,44,3048,75,989,3,34,65,43,70,1,
68,100,2,58,1,10,14,14,44,3048,75,989,3,34,65,43,70,1,
68,100,2,58,1,10,70,14,44,3048,75,989,3,34,65,43,70,0,
68,100,2,58,1,10,33,14,44,3048,75,989,3,34,65,43,70,1,
68,100,2,452,1,10,33,14,41,509,75,989,3,34,81,43,70,1,
33,87,2,452,0,10,33,101,41,509,78,588,13,70,81,43,95,1,
33,87,0,389,0,10,33,101,37,1740,78,588,13,70,46,43,95,1,
33,87,0,905,0,10,33,101,85,2674,78,588,13,70,12,43,95,1,
33,87,0,905,0,10,64,101,85,2674,78,588,13,70,12,43,95,1,
33,87,2,787,0,10,64,101,17,1863,78,588,13,70,41,43,95,1,
33,87,2,787,0,10,11,101,17,1863,78,588,13,70,41,43,95,0,
33,87,2,787,0,10,29,101,17,1863,78,588,13,70,41,43,95,0,
92,91,2,787,0,10,29,9,17,1863,36,60,8,72,41,43,98,0,
100,51,2,787,1,10,29,248,17,1863,54,22,11,41,41,43,34,0,
100,51,2,544,1,10,29,248,43,404,54,22,11,41,51,43,34,0,
100,51,2,544,1,77,29,248,43,404,54,22,11,41,51,26,34,0,
100,51,3,380,1,77,29,248,64,50,54,22,11,41,20,26,34,0,
100,51,3,380,1,77,86,248,64,50,54,22,11,41,20,26,34,1,
100,51,2,27,1,77,86,248,98,1057,54,22,11,41,78,26,34,1,
100,51,2,27,1,17,86,248,98,1057,54,22,11,41,78,50,34,1,
100,51,2,27,1,17,45,248,98,1057,54,22,11,41,78,50,34,0,
100,51,2,27,1,54,45,248,98,1057,54,22,11,41,78,29,34,0,
100,51,0,49,1,54,45,248,25,1576,54,22,11,41,36,29,34,0,
