load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
48,26,1,712,0,0,0,40,22,2616,45,191,9,46,78,0,27,0,
48,26,1,712,0,0,73,40,22,2616,45,191,9,46,78,0,27,1,
48,26,3,80,0,0,73,40,21,2724,45,191,9,46,77,0,27,1,
51,84,3,80,1,0,73,104,21,2724,98,65,3,4,77,0,58,1,
51,84,3,80,1,66,73,104,21,2724,98,65,3,4,77,5,58,1,
51,84,0,748,1,66,73,104,66,849,98,65,3,4,98,5,58,1,
3,46,0,748,1,66,73,64,66,849,13,273,23,28,98,5,86,1,
3,46,0,748,1,66,71,64,66,849,13,273,23,28,98,5,86,0,
3,49,0,748,0,66,71,198,66,849,15,34,0,100,98,5,84,0,
3,49,0,748,0,66,41,198,66,849,15,34,0,100,98,5,84,1,
3,49,0,748,0,25,41,198,66,849,15,34,0,100,98,16,84,1,
3,49,0,748,0,5,41,198,66,849,15,34,0,100,98,4,84,1,
60,37,0,748,0,5,41,202,66,849,32,780,0,77,98,4,11,1,
3,66,0,748,1,5,41,245,66,849,97,397,12,77,98,4,88,1,
3,66,0,748,1,53,41,245,66,849,97,397,12,77,98,30,88,1,
3,66,0,748,1,53,17,245,66,849,97,397,12,77,98,30,88,0,
41,36,0,748,0,53,17,75,66,849,80,336,17,50,98,30,64,0,
41,36,2,739,0,53,17,75,4,764,80,336,17,50,49,30,64,0,
41,36,2,739,0,60,17,75,4,764,80,336,17,50,49,47,64,0,
41,36,2,739,0,60,93,75,4,764,80,336,17,50,49,47,64,0,
60,13,2,739,1,60,93,112,4,764,77,524,9,96,49,47,30,0,
60,13,3,7,1,60,93,112,72,3223,77,524,9,96,21,47,30,0,
60,13,3,7,1,98,93,112,72,3223,77,524,9,96,21,0,30,0,
60,13,3,7,1,83,93,112,72,3223,77,524,9,96,21,26,30,0,
60,13,3,7,1,83,62,112,72,3223,77,524,9,96,21,26,30,1,
60,13,3,7,1,83,85,112,72,3223,77,524,9,96,21,26,30,1,
60,13,0,284,1,83,85,112,40,3260,77,524,9,96,90,26,30,1,
18,15,0,284,0,83,85,235,40,3260,96,2,16,61,90,26,9,1,
18,15,0,284,0,83,80,235,40,3260,96,2,16,61,90,26,9,0,
18,15,0,284,0,83,32,235,40,3260,96,2,16,61,90,26,9,0,
