load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,-1,307,0,0,41,0,90,1739,0,0,0,0,78,0,0,1,
11,94,-1,307,0,0,41,85,90,1739,85,851,1,18,78,0,57,1,
77,30,-1,307,0,0,41,169,90,1739,83,743,24,22,78,0,78,1,
77,30,-1,307,0,0,41,169,90,1739,83,743,24,22,78,0,78,0,
77,30,1,614,0,0,41,169,67,3536,83,743,24,22,2,0,78,0,
77,30,1,614,0,35,41,169,67,3536,83,743,24,22,2,47,78,0,
13,42,1,614,0,35,41,220,67,3536,21,534,15,38,2,47,97,0,
13,42,0,749,0,35,41,220,35,3105,21,534,15,38,5,47,97,0,
13,42,0,749,0,35,49,220,35,3105,21,534,15,38,5,47,97,1,
13,42,0,749,0,35,78,220,35,3105,21,534,15,38,5,47,97,1,
13,42,0,749,0,44,78,220,35,3105,21,534,15,38,5,6,97,1,
13,42,0,749,0,53,78,220,35,3105,21,534,15,38,5,15,97,1,
13,42,0,147,0,53,78,220,10,317,21,534,15,38,85,15,97,1,
38,56,0,147,1,53,78,98,10,317,87,253,11,89,85,15,59,1,
38,56,0,147,1,53,32,98,10,317,87,253,11,89,85,15,59,0,
31,37,0,147,1,53,32,228,10,317,11,930,10,77,85,15,68,0,
31,37,0,147,1,28,32,228,10,317,11,930,10,77,85,5,68,0,
31,37,0,147,1,84,32,228,10,317,11,930,10,77,85,27,68,0,
31,37,0,147,1,84,38,228,10,317,11,930,10,77,85,27,68,1,
16,24,0,147,0,84,38,201,10,317,2,70,24,68,85,27,45,1,
16,24,0,147,0,84,84,201,10,317,2,70,24,68,85,27,45,1,
16,24,0,147,0,84,58,201,10,317,2,70,24,68,85,27,45,0,
16,24,0,287,0,84,58,201,29,64,2,70,24,68,73,27,45,0,
16,24,0,287,0,84,53,201,29,64,2,70,24,68,73,27,45,0,
97,4,0,287,0,84,53,219,29,64,38,550,8,26,73,27,45,0,
97,4,0,287,0,84,65,219,29,64,38,550,8,26,73,27,45,1,
97,4,0,290,0,84,65,219,19,368,38,550,8,26,67,27,45,1,
97,4,0,290,0,69,65,219,19,368,38,550,8,26,67,39,45,1,
97,4,0,290,0,69,99,219,19,368,38,550,8,26,67,39,45,0,
97,4,0,290,0,69,10,219,19,368,38,550,8,26,67,39,45,0,
99,15,0,290,1,69,10,21,19,368,79,510,8,30,67,39,28,0,
99,15,0,290,1,69,4,21,19,368,79,510,8,30,67,39,28,0,
24,8,0,290,0,69,4,135,19,368,47,954,12,25,67,39,39,0,
24,8,0,290,0,45,4,135,19,368,47,954,12,25,67,7,39,0,
24,8,0,948,0,45,4,135,35,20,47,954,12,25,38,7,39,0,
24,8,0,948,0,58,4,135,35,20,47,954,12,25,38,21,39,0,
24,8,0,500,0,58,4,135,72,2587,47,954,12,25,22,21,39,0,
24,8,0,293,0,58,4,135,57,839,47,954,12,25,97,21,39,0,
24,8,0,293,0,58,2,135,57,839,47,954,12,25,97,21,39,1,
29,90,0,293,1,58,2,173,57,839,97,819,23,24,97,21,55,1,
6,100,0,293,0,58,2,205,57,839,73,507,7,7,97,21,28,1,
82,48,0,293,1,58,2,236,57,839,90,904,15,77,97,21,11,1,
82,48,1,934,1,58,2,236,79,2423,90,904,15,77,79,21,11,1,
82,48,1,934,1,10,2,236,79,2423,90,904,15,77,79,5,11,1,
82,48,1,934,1,56,2,236,79,2423,90,904,15,77,79,23,11,1,
