load,hours,bat,oil,throttle,gear,cvt_temp,lock,cvt,engine_temp,susp,user,slip,vel,lbrake,rpm,rbrake,ballast,
0,36,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,
0,36,0,0,0,0,0,0,0,0,71,0,0,46,0,0,0,0,
0,0,0,341,0,36,71,0,31,2340,0,0,0,0,66,46,0,0,
0,0,0,341,0,94,71,0,31,2340,0,0,0,0,66,13,0,0,
7,14,0,341,0,94,71,210,31,2340,30,110,2,86,66,13,59,0,
85,0,0,341,1,94,71,177,31,2340,25,746,24,22,66,13,90,0,
85,0,1,456,1,94,71,177,86,3242,25,746,24,22,48,13,90,0,
85,0,1,456,1,94,15,177,86,3242,25,746,24,22,48,13,90,0,
95,35,1,456,1,94,15,193,86,3242,72,103,21,79,48,13,71,0,
95,35,1,100,1,94,15,193,36,1876,72,103,21,79,40,13,71,0,
95,35,1,100,1,94,13,193,36,1876,72,103,21,79,40,13,71,0,
95,35,3,226,1,94,13,193,44,3340,72,103,21,79,40,13,71,0,
88,9,3,226,1,94,13,59,44,3340,15,859,2,7,40,13,74,0,
88,9,1,169,1,94,13,59,86,175,15,859,2,7,57,13,74,0,
63,43,1,169,0,94,13,117,86,175,39,548,14,25,57,13,38,0,
59,67,1,169,1,94,13,161,86,175,72,634,12,81,57,13,32,0,
59,67,1,169,1,1,13,161,86,175,72,634,12,81,57,18,32,0,
59,67,0,677,1,1,13,161,3,3117,72,634,12,81,83,18,32,0,
41,48,0,677,0,1,13,163,3,3117,64,311,11,90,83,18,45,0,
89,92,0,677,1,1,13,207,3,3117,89,668,3,60,83,18,68,0,
85,98,0,677,0,1,13,162,3,3117,57,363,22,13,83,18,65,0,
85,98,0,677,0,1,69,162,3,3117,57,363,22,13,83,18,65,0,
85,98,0,71,0,1,69,162,12,131,57,363,22,13,31,18,65,0,
85,98,0,71,0,22,69,162,12,131,57,363,22,13,31,20,65,0,
21,93,0,71,1,22,69,153,12,131,84,87,13,89,31,20,97,0,
21,93,1,42,1,22,69,153,71,1168,84,87,13,89,71,20,97,0,
5,21,1,42,0,22,69,94,71,1168,21,102,23,7,71,20,68,0,
27,39,1,42,0,22,69,203,71,1168,96,968,21,52,71,20,88,0,
27,39,3,351,0,22,69,203,97,1803,96,968,21,52,10,20,88,0,
37,82,3,351,1,22,69,5,97,1803,76,5,13,78,10,20,73,0,
37,82,3,351,1,70,69,5,97,1803,76,5,13,78,10,24,73,0,
75,76,3,351,1,70,69,21,97,1803,68,84,24,11,10,24,9,0,
75,76,3,351,1,2,69,21,97,1803,68,84,24,11,10,31,9,0,
75,76,3,351,1,23,69,21,97,1803,68,84,24,11,10,26,9,0,
75,76,-1,670,1,23,69,21,7,84,68,84,24,11,15,26,9,0,
75,76,3,813,1,23,69,21,85,1063,68,84,24,11,54,26,9,0,
75,76,3,813,1,23,49,21,85,1063,68,84,24,11,54,26,9,0,
