load,oil,gear,cvt_temp,lock,hours,susp,user,slip,rpm,rbrake,engine_temp,bat,throttle,cvt,vel,lbrake,ballast,
0,0,3,95,0,5,0,0,91,637,0,0,0,0,24,48,0,0,
0,0,3,95,0,5,1,0,91,637,0,0,0,0,24,48,0,1,
18,63,3,95,1,5,1,174,91,637,69,924,15,4,24,48,16,1,
18,63,3,95,1,5,48,174,91,637,69,924,15,4,24,48,16,0,
6,63,3,95,0,5,48,126,91,637,11,403,17,4,24,48,97,0,
6,63,2,346,0,5,48,126,69,3239,11,403,17,4,18,48,97,0,
6,63,2,346,0,5,71,126,69,3239,11,403,17,4,18,48,97,0,
6,63,2,346,0,21,71,126,69,3239,11,403,17,4,18,2,97,0,
6,63,2,346,0,21,61,126,69,3239,11,403,17,4,18,2,97,0,
34,17,2,346,1,21,61,54,69,3239,83,279,5,44,18,2,60,0,
34,17,2,346,1,65,61,54,69,3239,83,279,5,44,18,33,60,0,
76,53,2,346,0,65,61,245,69,3239,98,112,6,97,18,33,64,0,
76,53,2,346,0,98,61,245,69,3239,98,112,6,97,18,20,64,0,
76,53,3,918,0,98,61,245,40,1183,98,112,6,97,41,20,64,0,
76,53,3,918,0,78,61,245,40,1183,98,112,6,97,41,49,64,0,
